Latitude,Longitude,Altitude,Time,VCP0.32,VCP0.32_inph,VCP0.71,VCP0.71_inph,VCP1.14,VCP1.14_inph,Inv.Cond.1 [mS/m],Inv.Cond.2 [mS/m],Inv.Thick [m],Inv.RMS [%],Note
5224.454771N,00220.656384W,30.63,12:12:16.31,5.38,1.92,8.33,2.4,10.34,4.61,0.95,16.44,1.2,3.5,
5224.454815N,00220.656106W,30.72,12:12:17.21,5.01,1.92,8.09,2.39,10.26,4.57,0.94,16.31,1.2,3.2,
5224.454660N,00220.655779W,30.8,12:12:18.26,5.09,1.92,7.96,2.38,10.21,4.62,0.94,16.23,1.2,2.9,
5224.454587N,00220.655762W,30.78,12:12:19.31,5.13,1.91,7.91,2.34,10.07,4.44,0.95,15.58,1.2,2.8,
5224.454719N,00220.655770W,30.75,12:12:20.20,4.92,1.92,7.79,2.36,9.99,4.55,0.94,15.45,1.2,2.6,
5224.454782N,00220.655848W,30.69,12:12:21.25,5.26,1.91,8.08,2.36,10.23,4.52,0.94,16.26,1.2,3,
5224.454736N,00220.655837W,30.67,12:12:22.31,5.29,1.92,8.05,2.38,10.37,4.55,0.95,16.49,1.2,3.2,
5224.454677N,00220.655807W,30.66,12:12:23.21,5.35,1.93,7.98,2.4,10.06,4.52,0.95,15.56,1.2,3.9,
5224.454719N,00220.655703W,30.65,12:12:24.25,6.9,2.2,8.78,2.88,10.63,5.22,4.62,24.73,3,2.9,
5224.454398N,00220.655753W,30.57,12:12:25.31,5.15,1.87,7.77,2.28,9.97,4.39,0.94,15.42,1.2,2.9,
5224.454099N,00220.655881W,30.52,12:12:26.21,4.91,1.91,7.73,2.36,10.04,4.58,0.95,15.53,1.2,3.9,
5224.453893N,00220.656118W,30.5,12:12:27.26,4.94,1.93,8,2.4,10.46,4.55,0.44,18.12,1.3,6.9,
5224.453661N,00220.656337W,30.45,12:12:28.30,4.93,1.95,8.16,2.42,10.98,4.52,1.56,30.23,2.7,2.2,
5224.453347N,00220.656446W,30.36,12:12:29.21,5.08,1.96,8.25,2.43,11.21,4.53,1.59,30.86,2.7,2,
5224.453058N,00220.656636W,30.29,12:12:30.26,5.64,1.97,8.64,2.46,11.34,4.48,1.04,18.03,1.2,3.1,
5224.452778N,00220.656810W,30.23,12:12:31.31,5.94,1.99,8.96,2.5,11.43,4.43,1.05,18.17,1.2,2.9,
5224.452426N,00220.657127W,30.11,12:12:32.21,5.97,2.05,8.77,2.5,11.06,3.88,2.87,18.23,1.5,2,
5224.452083N,00220.657456W,30.09,12:12:33.26,7,2.17,9.16,2.34,10.85,2.77,1.54,13.62,0.6,5.1,
5224.451834N,00220.657563W,30.03,12:12:34.31,9.42,2.43,8.77,1.44,9.23,-0.19,9.37,7.63,2.1,2.6,
5224.451569N,00220.657626W,30,12:12:35.20,13.53,2.42,6.48,-1.29,7.03,-4.57,69.36,1.64,0.1,16.5,
5224.451475N,00220.657728W,29.95,12:12:36.26,17.17,1.31,-3.41,-9.46,-0.61,-16.54,-1,-1,-1,-1,
5224.451368N,00220.657915W,29.92,12:12:37.31,12.04,-2.04,-16.61,-19.3,-8.53,-28.01,-1,-1,-1,-1,
5224.451052N,00220.657962W,29.99,12:12:38.21,-46.71,-20.22,-53.9,-46.78,-25.7,-54.59,-1,-1,-1,-1,
5224.450760N,00220.657975W,30.05,12:12:39.26,-147.2,-45.71,-94.48,-72.24,-43.62,-77.14,-1,-1,-1,-1,
5224.450749N,00220.657931W,30.08,12:12:40.31,-108.22,-34.28,-86.14,-64.22,-41.67,-70.26,-1,-1,-1,-1,
5224.450759N,00220.657981W,30.12,12:12:41.21,-102.27,-33.1,-79.23,-60.15,-37.74,-65.22,-1,-1,-1,-1,
5224.450775N,00220.657973W,30.13,12:12:42.26,-117.5,-37.15,-83.66,-63.48,-39.36,-68.12,-1,-1,-1,-1,
5224.450806N,00220.658025W,30.11,12:12:43.31,-137.38,-42.13,-89.7,-67.69,-41.71,-71.89,-1,-1,-1,-1,
5224.450872N,00220.658067W,30.07,12:12:44.21,-134.74,-41.43,-89.66,-67.71,-41.75,-72.06,-1,-1,-1,-1,
5224.450934N,00220.658094W,30.04,12:12:45.26,-116.69,-36.56,-83.33,-62.84,-39.25,-67.45,-1,-1,-1,-1,
5224.450979N,00220.658112W,30.01,12:12:46.31,-101.07,-32.82,-77.62,-59.37,-36.73,-64.13,-1,-1,-1,-1,
5224.451008N,00220.658155W,29.97,12:12:47.21,-88.22,-29.72,-72.93,-56.35,-34.33,-61.08,-1,-1,-1,-1,
5224.451031N,00220.658200W,29.94,12:12:48.26,-54.94,-20.68,-57.29,-45.13,-27.3,-49.88,-1,-1,-1,-1,
5224.451013N,00220.658200W,29.9,12:12:49.31,-32.04,-14.18,-41.07,-34.07,-18.65,-37.93,-1,-1,-1,-1,
5224.451027N,00220.658179W,29.88,12:12:50.21,-39.8,-17.21,-45.56,-38.71,-20.12,-42.83,-1,-1,-1,-1,
5224.451037N,00220.658186W,29.86,12:12:51.26,-53.48,-20.76,-51.75,-42.62,-22.9,-46.55,-1,-1,-1,-1,
5224.451048N,00220.658176W,29.85,12:12:52.31,-54.45,-20.79,-52.84,-43.04,-23.63,-47.06,-1,-1,-1,-1,
5224.451048N,00220.658184W,29.84,12:12:53.21,-51.9,-20.04,-51.88,-42.2,-23.47,-46.27,-1,-1,-1,-1,
5224.451047N,00220.658187W,29.82,12:12:54.25,-51.62,-20.1,-51.71,-42.22,-23.3,-46.23,-1,-1,-1,-1,
5224.451051N,00220.658181W,29.82,12:12:55.31,-55.1,-21.09,-53.24,-43.46,-23.88,-47.49,-1,-1,-1,-1,
5224.451055N,00220.658181W,29.82,12:12:56.21,-56.27,-21.3,-53.94,-43.74,-24.26,-47.85,-1,-1,-1,-1,
5224.451056N,00220.658190W,29.8,12:12:57.25,-54.1,-20.66,-53.02,-43.01,-24.09,-47.14,-1,-1,-1,-1,
5224.451050N,00220.658193W,29.8,12:12:58.16,-55.36,-21.07,-52.99,-43.16,-23.73,-47.05,-1,-1,-1,-1,
5224.451052N,00220.658195W,29.8,12:12:59.21,-57.57,-21.61,-54.02,-43.86,-24.29,-47.84,-1,-1,-1,-1,
5224.451049N,00220.658197W,29.8,12:13:00.25,-57.15,-21.47,-53.93,-43.69,-24.27,-47.63,-1,-1,-1,-1,
5224.451048N,00220.658193W,29.8,12:13:01.16,-56.94,-21.46,-53.72,-43.7,-24.05,-47.57,-1,-1,-1,-1,
5224.451054N,00220.658189W,29.81,12:13:02.21,-58.2,-21.7,-54.44,-44.09,-24.56,-48.07,-1,-1,-1,-1,
5224.451060N,00220.658187W,29.81,12:13:03.26,-57.07,-21.35,-54.54,-44,-24.39,-48.09,-1,-1,-1,-1,
5224.451059N,00220.658188W,29.8,12:13:04.16,-56.36,-21.21,-54.11,-43.81,-24.46,-47.87,-1,-1,-1,-1,
5224.451056N,00220.658185W,29.81,12:13:05.20,-58.59,-21.87,-55.01,-44.51,-24.68,-48.55,-1,-1,-1,-1,
5224.451058N,00220.658188W,29.81,12:13:06.25,-62.19,-22.82,-56.59,-45.58,-25.3,-49.57,-1,-1,-1,-1,
5224.451049N,00220.658188W,29.81,12:13:07.16,-62.57,-22.84,-56.77,-45.5,-25.78,-49.51,-1,-1,-1,-1,
5224.451043N,00220.658189W,29.82,12:13:08.21,-59.75,-22.15,-55.56,-44.69,-25.15,-48.82,-1,-1,-1,-1,
5224.451053N,00220.658186W,29.81,12:13:09.25,-59.74,-22.19,-55.63,-44.86,-25.12,-48.94,-1,-1,-1,-1,
5224.451055N,00220.658178W,29.81,12:13:10.16,-60.15,-22.32,-56.28,-45.24,-25.74,-49.42,-1,-1,-1,-1,
5224.451063N,00220.658181W,29.81,12:13:11.20,-62.02,-22.74,-57.35,-45.78,-26.13,-49.97,-1,-1,-1,-1,
5224.451067N,00220.658193W,29.81,12:13:12.26,-66.11,-23.8,-58.63,-46.87,-26.72,-51.01,-1,-1,-1,-1,
5224.451071N,00220.658194W,29.8,12:13:13.16,-64.99,-23.48,-58.54,-46.61,-26.76,-50.85,-1,-1,-1,-1,
5224.451075N,00220.658197W,29.79,12:13:14.21,-65.47,-23.58,-58.09,-46.5,-26.48,-50.53,-1,-1,-1,-1,
5224.451079N,00220.658199W,29.79,12:13:15.25,-68.66,-24.48,-59.87,-47.73,-26.89,-51.87,-1,-1,-1,-1,
5224.451082N,00220.658204W,29.79,12:13:16.16,-66.76,-23.78,-59.16,-46.95,-26.98,-51.05,-1,-1,-1,-1,
5224.451080N,00220.658198W,29.79,12:13:17.21,-64.18,-23.22,-58.01,-46.32,-26.61,-50.51,-1,-1,-1,-1,
5224.451083N,00220.658198W,29.8,12:13:18.25,-68.88,-24.5,-59.88,-47.76,-27.21,-51.88,-1,-1,-1,-1,
5224.451063N,00220.658195W,29.8,12:13:19.16,-70.85,-24.88,-60.79,-48.18,-27.52,-52.25,-1,-1,-1,-1,
5224.451047N,00220.658184W,29.81,12:13:20.20,-65.75,-23.49,-58.73,-46.61,-26.91,-50.76,-1,-1,-1,-1,
5224.451030N,00220.658175W,29.83,12:13:21.26,-66.76,-23.91,-59,-47.06,-26.69,-51.2,-1,-1,-1,-1,
5224.451024N,00220.658173W,29.84,12:13:22.16,-71.32,-25.06,-60.96,-48.39,-27.62,-52.44,-1,-1,-1,-1,
5224.451018N,00220.658169W,29.85,12:13:23.20,-66.76,-23.7,-59.51,-47.05,-27.3,-51.19,-1,-1,-1,-1,
5224.451011N,00220.658174W,29.86,12:13:24.25,-65.06,-23.33,-58.42,-46.48,-26.61,-50.72,-1,-1,-1,-1,
5224.451008N,00220.658167W,29.86,12:13:25.16,-71.67,-25.16,-61.09,-48.45,-27.8,-52.51,-1,-1,-1,-1,
5224.451019N,00220.658180W,29.87,12:13:26.21,-69.5,-24.37,-61.07,-48.14,-27.9,-52.32,-1,-1,-1,-1,
5224.451039N,00220.658226W,29.83,12:13:27.25,-47.75,-18.52,-50.44,-40.8,-22.77,-45.25,-1,-1,-1,-1,
5224.451205N,00220.657858W,29.89,12:13:28.16,-2.66,-5.24,-24.92,-21.47,-12.8,-27.87,-1,-1,-1,-1,
5224.451509N,00220.657767W,29.87,12:13:29.21,17.16,1.55,-2.08,-6.64,-0.53,-12.06,-1,-1,-1,-1,
5224.451918N,00220.657591W,29.9,12:13:30.25,11.8,2.47,8.14,1.26,7.72,0.02,43.94,3.92,0.2,8.1,
5224.452320N,00220.657243W,29.96,12:13:31.16,7.09,2.09,9.19,2.46,10.51,3.82,4.4,12.84,0.9,4.1,
5224.452823N,00220.656853W,30.03,12:13:32.21,5.89,2,8.76,2.49,10.87,4.3,2.82,17.92,1.5,2.3,
5224.453271N,00220.656440W,30.06,12:13:33.26,5.26,1.95,8.26,2.43,10.94,4.46,1.01,17.39,1.2,4.7,
5224.453715N,00220.656091W,30.09,12:13:34.16,4.94,1.93,8.05,2.37,10.86,4.41,1.54,29.9,2.7,2.6,
5224.454190N,00220.655820W,30.08,12:13:35.20,5.07,1.92,8.2,2.37,10.98,4.52,1.56,30.23,2.7,3.2,
5224.454656N,00220.655617W,30.04,12:13:36.25,5.04,1.93,8.17,2.39,11.02,4.57,1.57,30.34,2.7,2.7,
5224.455111N,00220.655272W,30.09,12:13:37.16,4.91,1.93,8.22,2.37,10.91,4.52,0.46,18.9,1.3,5.6,
5224.455567N,00220.654848W,30.15,12:13:38.20,4.86,1.92,7.96,2.35,10.5,4.35,0.44,18.19,1.3,6.5,
5224.455984N,00220.654370W,30.16,12:13:39.25,4.83,1.91,8.15,2.36,10.79,4.39,0.45,18.69,1.3,5.4,
5224.456420N,00220.653971W,30.21,12:13:40.16,4.71,1.91,8.01,2.34,10.67,4.36,1.52,29.37,2.7,3,
5224.456916N,00220.653639W,30.22,12:13:41.21,4.99,1.92,8.16,2.33,10.9,4.43,1.55,30.01,2.7,3.1,
5224.457402N,00220.653325W,30.16,12:13:42.25,5.35,1.92,8.36,2.37,10.9,4.5,1,17.33,1.2,3.5,
5224.457931N,00220.653115W,30.18,12:13:43.16,5.4,1.92,8.56,2.35,11.11,4.48,1.02,17.66,1.2,3.6,
5224.458277N,00220.652982W,30.21,12:13:44.21,5.09,1.91,8.3,2.29,10.93,4.31,0.46,18.93,1.3,6.4,
5224.458320N,00220.652972W,30.19,12:13:45.26,4.91,1.89,7.9,2.23,10.23,4.15,0.94,16.26,1.2,4.5,
5224.458324N,00220.652991W,30.19,12:13:46.16,5,1.89,7.79,2.24,9.9,4.1,0.94,15.32,1.2,1.8,
5224.458313N,00220.652980W,30.2,12:13:47.21,5,1.89,7.83,2.2,10.02,4.01,0.95,15.5,1.2,2.7,
5224.458311N,00220.652877W,30.22,12:13:48.26,5.16,1.9,8.23,2.28,10.75,4.22,0.99,17.09,1.2,4.4,
5224.458628N,00220.652519W,30.27,12:13:49.15,5.04,1.91,8.25,2.3,10.81,4.3,0.45,18.72,1.3,6.3,
5224.459013N,00220.652269W,30.24,12:13:50.21,5.29,1.9,8.63,2.32,11.16,4.34,0.47,19.33,1.3,6.2,
5224.459385N,00220.652065W,30.25,12:13:51.26,5.5,1.91,8.93,2.33,11.5,4.47,1.06,18.28,1.2,3.7,
5224.459802N,00220.651760W,30.29,12:13:52.16,5.67,1.91,9.16,2.32,11.92,4.35,1.1,18.95,1.2,4,
5224.460251N,00220.651412W,30.31,12:13:53.21,5.96,1.91,9.43,2.36,12.13,4.53,1.12,19.28,1.2,2.5,
5224.460742N,00220.651108W,30.27,12:13:54.25,6.05,1.93,9.54,2.41,12.07,4.66,1.11,19.19,1.2,1.3,
5224.461163N,00220.650910W,30.28,12:13:55.16,6.58,1.91,10.22,2.35,12.56,4.51,1.16,19.97,1.2,3.4,
5224.461600N,00220.650658W,30.3,12:13:56.21,6.8,1.9,10.44,2.35,12.96,4.51,1.19,20.6,1.2,3.3,
5224.461978N,00220.650480W,30.34,12:13:57.26,6.81,1.89,10.49,2.37,13.09,4.63,1.2,20.81,1.2,2.9,
5224.462422N,00220.650091W,30.36,12:13:58.16,6.8,1.9,10.49,2.4,13,4.63,1.2,20.67,1.2,3.3,
5224.462818N,00220.649692W,30.42,12:13:59.21,6.77,1.9,10.42,2.37,12.87,4.57,1.18,20.46,1.2,3.5,
5224.463232N,00220.649247W,30.48,12:14:00.26,6.97,1.9,10.86,2.39,13.34,4.61,1.23,21.21,1.2,3.7,
5224.463649N,00220.648810W,30.53,12:14:01.16,7.25,1.91,11.29,2.42,13.82,4.76,1.27,21.97,1.2,4.1,
5224.464074N,00220.648527W,30.57,12:14:02.21,7.49,1.92,11.66,2.48,14.06,4.78,3.65,23.18,1.5,4.2,
5224.464479N,00220.648284W,30.58,12:14:03.26,8.13,1.98,12.13,2.63,14.14,4.83,2.25,19.76,0.9,6.9,
5224.464859N,00220.648101W,30.61,12:14:04.16,8.78,2.02,12.66,2.69,14.92,5,2.92,22.29,1,7.9,
5224.465196N,00220.647959W,30.67,12:14:05.21,9.36,1.98,12.96,2.5,14.86,4.76,2.03,19.03,0.7,2.6,
5224.465503N,00220.647805W,30.75,12:14:06.11,9.86,2.13,11.62,2.36,14.35,4.4,7.92,36.26,4.1,4.6,
5224.465709N,00220.647716W,30.76,12:14:07.16,9.55,2.07,11.27,2.38,14.4,4.33,6.27,33.5,3,3.1,
5224.465915N,00220.647455W,30.83,12:14:08.21,8.43,2.01,11.74,2.47,14.74,4.5,4.02,26.65,1.7,1.4,
5224.466201N,00220.647188W,30.94,12:14:09.10,8.1,1.92,12.38,2.42,14.97,4.62,4.08,27.07,1.7,3.4,
5224.466551N,00220.646938W,31.02,12:14:10.16,8.47,1.88,12.55,2.36,14.61,4.47,2.86,21.83,1,7.1,
5224.466870N,00220.646730W,31.05,12:14:11.21,7.86,1.89,12.29,2.39,14.46,4.71,2.83,21.6,1,7.8,
5224.467251N,00220.646542W,31.1,12:14:12.10,7.41,1.89,11.9,2.35,14.61,4.71,1.47,24.08,1.2,3.1,
5224.467561N,00220.646364W,31.17,12:14:13.16,8.2,1.89,12.44,2.4,14.96,4.86,4.08,27.05,1.7,3.1,
5224.467895N,00220.646065W,31.26,12:14:14.21,8.68,1.9,12.65,2.45,15.46,4.96,4.22,27.95,1.7,1.6,
5224.468302N,00220.645809W,31.36,12:14:15.11,8.56,1.86,13.14,2.39,16.19,4.86,1.63,26.68,1.2,3.6,
5224.468742N,00220.645598W,31.43,12:14:16.16,8.28,1.88,12.69,2.46,15.9,5.11,1.6,26.2,1.2,2.7,
5224.469090N,00220.645554W,31.45,12:14:17.21,8.56,1.93,13.27,2.7,16.26,5.5,1.64,26.8,1.2,3.6,
5224.469488N,00220.645364W,31.57,12:14:18.11,9.76,2.07,14.3,3.2,16.8,6.34,3.29,25.1,1,6.6,
5224.469855N,00220.644900W,31.73,12:14:19.16,12.99,2.61,16.87,4.66,18.31,8.24,7.92,23.23,1,2.6,
5224.470181N,00220.644425W,31.88,12:14:20.20,19.09,3.1,21.19,5.97,21.15,10.13,18.03,27.81,2.7,3.2,
5224.470524N,00220.644047W,32.05,12:14:21.11,26.38,3.23,21.58,4.59,21.26,7.42,52.15,15.54,0.2,4.7,
5224.470879N,00220.643913W,32.13,12:14:22.16,30.02,5.87,16.23,4.41,16.63,3.11,146.4,6.31,0.1,8.4,
5224.471173N,00220.643743W,32.3,12:14:23.21,24.72,6.03,12.16,4.71,11.3,1.05,169.71,1.8,0.1,9.4,
5224.471468N,00220.643479W,32.46,12:14:24.10,15.5,3.56,13.61,4.63,11.64,3.84,16.65,2.05,2.1,3.3,
5224.471658N,00220.643118W,32.55,12:14:25.16,11.67,2.66,13.69,3.95,12.98,4.83,10.32,13.47,0.8,4.5,
5224.471875N,00220.642723W,32.72,12:14:26.21,11,2.25,13.65,3.37,13.68,5.03,4.81,15.11,0.4,4.2,
5224.472181N,00220.642367W,32.86,12:14:27.11,9.37,1.97,13.17,2.74,14.65,5.09,2,18.76,0.7,2.6,
5224.472536N,00220.642153W,33.02,12:14:28.16,8.11,1.88,12.46,2.32,15.13,4.61,4.13,27.36,1.7,3.5,
5224.472894N,00220.642038W,33.14,12:14:29.21,8.33,1.98,11.77,2.45,15.1,4.75,4.12,27.3,1.7,2,
5224.473246N,00220.641684W,33.33,12:14:30.10,8.35,1.92,12.06,2.4,15.15,4.68,4.13,27.39,1.7,1.4,
5224.473571N,00220.641350W,33.5,12:14:31.16,8.19,1.86,12.19,2.28,15.24,4.61,4.16,27.56,1.7,2.4,
5224.473915N,00220.640989W,33.76,12:14:32.21,7.83,1.94,11.81,2.29,15.37,4.58,1.55,25.33,1.2,3.2,
5224.474261N,00220.640592W,34.01,12:14:33.10,8.06,1.91,12.48,2.38,16.23,4.68,1.64,26.75,1.2,2.7,
5224.474523N,00220.640405W,34.11,12:14:34.16,8.74,1.88,13.61,2.39,17.14,4.96,1.73,28.25,1.2,1.6,
5224.474798N,00220.640136W,34.3,12:14:35.20,8.8,1.83,13.58,2.29,17.37,4.86,1.75,28.63,1.2,2,
5224.475026N,00220.639784W,34.49,12:14:36.11,8.04,1.88,12.69,2.29,16.24,4.61,1.64,26.76,1.2,2.3,
5224.475285N,00220.639440W,34.71,12:14:37.16,8.68,2.01,13.63,2.6,17.15,5.05,1.73,28.26,1.2,1.4,
5224.475553N,00220.639082W,34.95,12:14:38.21,8.91,1.98,13.99,2.68,17.55,4.87,1.77,28.92,1.2,1.7,
5224.475744N,00220.639014W,35,12:14:39.10,8.05,1.95,13.36,2.59,17.03,4.55,0.71,30.59,1.3,5.2,
5224.475742N,00220.639083W,35,12:14:40.16,8.45,1.95,13.66,2.59,17.15,4.71,1.73,28.26,1.2,1.8,
5224.475745N,00220.639055W,34.99,12:14:41.20,8.38,1.94,13.05,2.55,16.1,4.82,1.62,26.53,1.2,3.1,
5224.475738N,00220.639074W,34.98,12:14:42.10,8.3,1.94,13.17,2.55,16.2,4.76,1.63,26.7,1.2,2.7,
5224.475747N,00220.639084W,34.97,12:14:43.16,7.75,1.95,12.74,2.54,16.01,4.85,1.61,26.39,1.2,2.6,
5224.475764N,00220.639162W,34.95,12:14:44.20,7.68,1.94,12.77,2.48,16,4.62,1.61,26.37,1.2,3,
5224.475772N,00220.639161W,34.95,12:14:45.10,8.05,1.94,12.87,2.53,16,4.8,1.61,26.37,1.2,1.8,
5224.475780N,00220.639130W,34.95,12:14:46.15,8,1.93,12.91,2.5,16.01,4.7,1.61,26.39,1.2,2,
5224.475766N,00220.639142W,34.94,12:14:47.20,7.78,1.93,12.72,2.48,16.01,4.66,1.61,26.39,1.2,2.4,
5224.475766N,00220.639140W,34.95,12:14:48.11,7.8,1.93,12.69,2.51,16.29,4.69,1.64,26.85,1.2,3.5,
5224.475776N,00220.639126W,34.93,12:14:49.16,7.61,1.94,12.43,2.51,15.83,4.75,1.6,26.09,1.2,3.3,
5224.475774N,00220.639146W,34.94,12:14:50.20,7.6,1.93,12.61,2.45,16.03,4.5,0.67,28.79,1.3,5.5,
5224.475795N,00220.639155W,34.93,12:14:51.11,7.56,1.94,12.72,2.51,15.99,4.63,0.66,28.72,1.3,5.1,
5224.475899N,00220.638902W,35.05,12:14:52.16,8.38,1.95,13.79,2.59,17.18,5.03,1.73,28.31,1.2,2.4,
5224.476112N,00220.638560W,35.17,12:14:53.20,8.98,1.91,14.79,2.57,18.28,5.31,1.84,30.13,1.2,2.8,
5224.476415N,00220.638416W,35.22,12:14:54.10,9.61,1.9,15.47,2.53,19.2,5.39,1.94,31.64,1.2,2.3,
5224.476738N,00220.638169W,35.38,12:14:55.16,10.06,1.9,15.89,2.53,19.64,5.43,1.98,32.37,1.2,3.1,
5224.477003N,00220.637859W,35.56,12:14:56.21,9.12,1.88,15.1,2.48,19.16,5.3,1.93,31.58,1.2,3.8,
5224.477139N,00220.637590W,35.7,12:14:57.11,8.48,1.88,14.22,2.43,18.66,5.35,0.77,33.52,1.3,5.5,
5224.477247N,00220.637608W,35.72,12:14:58.16,8.18,1.88,13.62,2.39,18.12,5.23,0.75,32.55,1.3,5.6,
5224.477287N,00220.637658W,35.73,12:14:59.21,8.82,1.88,13.75,2.45,17.69,5.28,1.78,29.15,1.2,2.2,
5224.477262N,00220.637450W,35.78,12:15:00.10,9.42,1.86,14.44,2.43,18.03,5.19,1.82,29.72,1.2,2.9,
5224.477346N,00220.637546W,35.8,12:15:01.16,8.15,1.92,13.18,2.4,17.41,5.09,0.72,31.27,1.3,6.3,
5224.477493N,00220.637235W,35.97,12:15:02.20,9.03,1.93,13.53,2.38,16.98,4.95,1.71,27.98,1.2,3,
5224.477719N,00220.637305W,36,12:15:03.11,9.43,1.99,13.29,2.33,16.77,4.62,4.57,30.32,1.7,0.2,
5224.477971N,00220.636891W,36.15,12:15:04.16,8.7,1.91,12.69,2.26,16.39,4.46,1.65,27.01,1.2,3.8,
5224.478184N,00220.636474W,36.31,12:15:05.21,7.6,1.84,11.81,2.15,15.78,4.34,3.74,56.04,3.5,4.6,
5224.478393N,00220.636342W,36.38,12:15:06.11,7.71,1.79,11.3,2.13,14.71,4.3,1.48,24.24,1.2,4.4,
5224.478623N,00220.636249W,36.53,12:15:07.16,7.97,1.8,10.96,2.23,13.95,4.4,3.62,22.99,1.5,1.7,
5224.478822N,00220.635988W,36.62,12:15:08.06,7.46,1.83,10.85,2.26,13.57,4.58,3.52,22.37,1.5,1.7,
5224.479019N,00220.635652W,36.82,12:15:09.11,7.35,1.83,10.86,2.2,13.71,4.41,3.56,22.6,1.5,2.5,
5224.479332N,00220.635407W,36.88,12:15:10.16,7.35,1.83,11.09,2.2,13.81,4.47,1.27,21.95,1.2,4,
5224.479557N,00220.635253W,37,12:15:11.06,7.16,1.85,11.07,2.26,13.78,4.35,1.27,21.91,1.2,3.3,
5224.479762N,00220.635031W,37.07,12:15:12.11,7.3,1.88,11.09,2.36,14.05,4.37,1.29,22.34,1.2,3.2,
5224.480004N,00220.634880W,37.15,12:15:13.16,7.83,1.88,11.23,2.4,13.92,4.44,3.61,22.94,1.5,1.4,
5224.480142N,00220.634850W,37.28,12:15:14.06,8.34,1.86,11.57,2.38,13.88,4.52,6.04,32.29,3,4.1,
5224.480176N,00220.634692W,37.33,12:15:15.11,8.75,1.79,11.93,2.28,14.39,4.45,6.26,33.47,3,3.7,
5224.480119N,00220.634605W,37.35,12:15:16.16,9.66,1.84,13.7,2.36,16.07,4.88,2.19,20.58,0.7,4.5,
5224.480197N,00220.634410W,37.41,12:15:17.06,11.82,1.84,16.23,2.45,18.58,5.2,2.53,23.79,0.7,2.5,
5224.480269N,00220.634253W,37.47,12:15:18.11,10.45,1.9,15.54,2.6,18.35,5.61,3.59,27.41,1,6.6,
5224.480232N,00220.634148W,37.47,12:15:19.16,9.74,1.87,15.45,2.53,18.87,5.52,1.9,31.1,1.2,3.5,
5224.480183N,00220.634087W,37.47,12:15:20.06,9.42,1.84,15.08,2.48,19.35,5.32,1.95,31.89,1.2,3.5,
5224.480181N,00220.634080W,37.48,12:15:21.11,8.69,1.85,14.45,2.48,19.27,5.39,2.97,67.63,3.1,2.8,
5224.480184N,00220.634069W,37.47,12:15:22.16,9,1.84,14.55,2.44,18.86,5.21,1.9,31.08,1.2,4.3,
5224.480213N,00220.634093W,37.47,12:15:23.06,9.14,1.85,14.92,2.5,19.14,5.38,1.93,31.54,1.2,4.1,
5224.480190N,00220.634103W,37.47,12:15:24.10,9.28,1.84,14.89,2.51,18.63,5.39,1.88,30.7,1.2,2,
5224.480202N,00220.634104W,37.46,12:15:25.16,9.4,1.84,15.02,2.51,19,5.38,1.91,31.31,1.2,2.3,
5224.480198N,00220.634062W,37.45,12:15:26.06,9.25,1.84,14.76,2.46,18.74,5.2,1.89,30.89,1.2,2.5,
5224.480215N,00220.634080W,37.45,12:15:27.11,9.45,1.84,15.09,2.47,19.22,5.26,1.94,31.68,1.2,2.8,
5224.480191N,00220.634097W,37.45,12:15:28.16,9.03,1.87,14.96,2.51,19.57,5.37,0.81,35.15,1.3,6.1,
5224.480173N,00220.634091W,37.45,12:15:29.06,8.92,1.85,14.66,2.48,18.98,5.3,0.79,34.09,1.3,6.2,
5224.480152N,00220.634072W,37.45,12:15:30.11,9.17,1.84,14.51,2.5,18.31,5.25,1.85,30.18,1.2,1.6,
5224.480163N,00220.634074W,37.45,12:15:31.16,9.06,1.85,14.68,2.51,18.63,5.44,1.88,30.7,1.2,2.9,
5224.480148N,00220.634084W,37.45,12:15:32.06,9.02,1.84,14.69,2.49,18.71,5.36,1.89,30.84,1.2,3.4,
5224.480134N,00220.634073W,37.45,12:15:33.11,9.23,1.85,14.69,2.56,18.18,5.52,1.83,29.96,1.2,2.3,
5224.480132N,00220.634058W,37.44,12:15:34.16,9.24,1.83,14.67,2.47,18.37,5.16,1.85,30.28,1.2,1.7,
5224.480135N,00220.634023W,37.43,12:15:35.05,9.18,1.84,14.69,2.5,18.71,5.38,1.89,30.84,1.2,2.8,
5224.480158N,00220.634035W,37.43,12:15:36.11,8.84,1.84,14.36,2.47,18.48,5.23,1.86,30.46,1.2,3.9,
5224.480161N,00220.634062W,37.43,12:15:37.16,8.53,1.85,14.27,2.48,19.17,5.39,2.95,67.28,3.1,2.5,
5224.480178N,00220.634080W,37.43,12:15:38.06,8.25,1.86,14.2,2.48,19.98,5.42,1.07,54.84,2.3,3.1,
5224.480148N,00220.634043W,37.43,12:15:39.10,8.75,1.85,14.46,2.45,19.32,5.32,2.98,67.81,3.1,2.9,
5224.480167N,00220.634065W,37.43,12:15:40.16,9.35,1.84,14.67,2.55,18.58,5.5,1.87,30.62,1.2,1.8,
5224.480185N,00220.634099W,37.43,12:15:41.06,9.65,1.83,14.87,2.56,17.92,5.36,4.89,32.4,1.7,3.3,
