Latitude,Longitude,Altitude,Time,HCP0.32,HCP0.32_inph,HCP0.71,HCP0.71_inph,HCP1.14,HCP1.14_inph,Inv.Cond.1 [mS/m],Inv.Cond.2 [mS/m],Inv.Thick [m],Inv.RMS [%],Note
5224.448118N,00220.645926W,34.33,13:23:52.88,7.21,2.31,10.66,2.84,13.84,4.97,1.27,15.17,1.6,4.1,
5224.447632N,00220.646233W,34.31,13:23:53.93,7,2.31,10.63,2.85,14.13,5.1,1.3,15.49,1.6,4.2,
5224.447176N,00220.646489W,34.32,13:23:54.83,7.11,2.31,10.76,2.81,14.16,5.1,1.3,15.52,1.6,3.5,
5224.446835N,00220.646764W,34.27,13:23:55.88,7.12,2.31,10.78,2.88,14.04,5.11,1.29,15.39,1.6,3.4,
5224.446322N,00220.647278W,34.16,13:23:56.93,6.84,2.3,10.28,2.82,13.5,4.95,1.24,14.8,1.6,3.4,
5224.445753N,00220.647654W,34.13,13:23:57.83,7.32,2.31,10.66,2.87,13.96,5.15,1.28,15.3,1.6,4.6,
5224.445263N,00220.647874W,34.12,13:23:58.88,7.46,2.3,11,2.84,14.27,4.99,1.31,15.64,1.6,4.3,
5224.444776N,00220.648074W,34.17,13:23:59.93,6.84,2.3,10.46,2.81,14.18,5.08,3.56,24.2,3.9,4.6,
5224.444351N,00220.648316W,34.14,13:24:00.83,6.65,2.32,10.56,2.85,14.17,5.04,2.25,22.05,3.1,4.1,
5224.443936N,00220.648637W,34,13:24:01.88,6.9,2.31,10.54,2.84,14.06,5.08,3.53,24,3.9,4.5,
5224.443463N,00220.649000W,33.94,13:24:02.93,6.85,2.31,10.3,2.84,13.73,5.12,3.45,23.44,3.9,3.8,
5224.442954N,00220.649334W,33.89,13:24:03.83,6.48,2.32,10.19,2.85,13.9,5.08,2.21,21.63,3.1,3.3,
5224.442477N,00220.649770W,33.75,13:24:04.88,6.71,2.3,10.25,2.82,14.05,5.03,3.53,23.98,3.9,4.5,
5224.442006N,00220.650060W,33.62,13:24:05.93,6.74,2.3,10.36,2.82,13.93,4.98,3.5,23.78,3.9,4.7,
5224.441607N,00220.650304W,33.59,13:24:06.83,6.73,2.31,10.49,2.87,14.09,5.02,3.54,24.05,3.9,5.2,
5224.441109N,00220.650652W,33.54,13:24:07.88,6.68,2.31,10.34,2.86,14,5.13,3.51,23.9,3.9,4.9,
5224.440566N,00220.650941W,33.53,13:24:08.93,6.91,2.31,10.45,2.85,13.95,5.05,3.5,23.81,3.9,4.1,
5224.440061N,00220.651095W,33.55,13:24:09.83,7.09,2.3,10.66,2.85,14.07,5.04,1.29,15.42,1.6,3.6,
5224.439635N,00220.651233W,33.48,13:24:10.88,6.74,2.3,10.37,2.84,14.09,5.09,3.54,24.05,3.9,4.8,
5224.439257N,00220.651517W,33.41,13:24:11.93,7.08,2.31,10.7,2.85,14.32,5.14,3.59,24.44,3.9,4.2,
5224.438823N,00220.651721W,33.41,13:24:12.83,8.52,2.31,11.86,2.94,15.39,5.35,2.83,16.61,1.6,3.2,
5224.438500N,00220.651826W,33.38,13:24:13.88,8.51,2.31,12.81,2.97,16.46,5.51,1.37,18.54,1.6,2.8,
5224.438406N,00220.651921W,33.41,13:24:14.93,7.12,2.31,11.95,2.94,16.48,5.44,2.54,27.16,3.2,2.1,
5224.438527N,00220.651833W,33.45,13:24:15.83,6.94,2.31,11.54,2.89,16.14,5.41,2.49,26.6,3.2,1.9,
5224.438475N,00220.651689W,33.48,13:24:16.88,6.81,2.31,11.65,2.9,16.19,5.31,0.86,24.38,2.6,3.5,
5224.438389N,00220.651311W,33.58,13:24:17.93,7.79,2.3,12,2.95,16.34,5.4,4.17,31.68,4.1,4.1,
5224.438274N,00220.651054W,33.57,13:24:18.83,8.2,2.3,12.18,2.89,16.21,5.32,4.13,31.42,4.1,3.4,
5224.438383N,00220.651141W,33.55,13:24:19.88,8.03,2.31,12.03,2.94,15.99,5.38,1.33,18.01,1.6,3.2,
5224.438438N,00220.651113W,33.58,13:24:20.93,8.23,2.3,12.1,2.91,16.18,5.44,4.12,31.37,4.1,3.4,
5224.438465N,00220.651064W,33.63,13:24:21.83,8.06,2.3,12.2,2.93,16.29,5.38,4.15,31.58,4.1,3.5,
5224.438476N,00220.651066W,33.64,13:24:22.88,8.09,2.3,12.27,2.93,16.39,5.36,4.18,31.77,4.1,3.5,
5224.438492N,00220.650997W,33.69,13:24:23.78,8.04,2.31,12.2,2.92,16.46,5.42,4.2,31.91,4.1,3.5,
5224.438525N,00220.650998W,33.7,13:24:24.83,7.72,2.32,12.22,2.99,16.67,5.59,2.57,27.47,3.2,2.3,
5224.438514N,00220.650963W,33.72,13:24:25.88,7.38,2.32,11.92,2.95,16.44,5.5,2.53,27.09,3.2,1,
5224.438515N,00220.650948W,33.72,13:24:26.78,7.39,2.31,12.05,2.94,16.51,5.51,2.54,27.21,3.2,1.1,
5224.438539N,00220.650939W,33.73,13:24:27.83,7.3,2.32,12.06,2.96,16.79,5.53,2.59,27.67,3.2,1.4,
5224.438559N,00220.650510W,33.84,13:24:28.88,7.52,2.31,11.73,2.89,16.3,5.44,2.51,26.86,3.2,1.7,
5224.438941N,00220.650450W,33.86,13:24:29.78,7.71,2.31,11.89,2.86,16.15,5.32,4.12,31.31,4.1,4.2,
5224.439464N,00220.650231W,33.88,13:24:30.83,7.5,2.31,11.71,2.87,16.02,5.37,2.47,26.4,3.2,2.8,
5224.439874N,00220.649956W,33.97,13:24:31.88,7.83,2.31,11.79,2.86,15.91,5.34,4.06,30.84,4.1,3.5,
5224.440246N,00220.649688W,33.9,13:24:32.78,7.83,2.31,11.97,2.88,16.1,5.35,4.1,31.21,4.1,3.9,
5224.440830N,00220.649359W,33.92,13:24:33.83,8.02,2.3,11.8,2.85,16.01,5.27,4.08,31.04,4.1,2.7,
5224.441288N,00220.649109W,33.93,13:24:34.88,8.14,2.31,11.99,2.86,15.94,5.28,1.32,17.95,1.6,3.8,
5224.441780N,00220.648808W,33.93,13:24:35.78,8,2.31,12.35,2.92,16.41,5.42,1.36,18.48,1.6,4,
5224.442223N,00220.648434W,34.09,13:24:36.83,8.48,2.31,12.58,2.94,16.62,5.44,1.38,18.72,1.6,3.3,
5224.442357N,00220.648334W,34.23,13:24:37.88,9.45,2.33,13.67,2.99,17.53,5.64,3.22,18.91,1.6,3.3,
5224.442415N,00220.648364W,34.2,13:24:38.78,9.34,2.32,13.46,2.98,17.34,5.54,3.19,18.71,1.6,3.5,
5224.442449N,00220.648050W,34.27,13:24:39.82,8.83,2.32,12.95,2.93,16.69,5.49,1.39,18.8,1.6,3.6,
5224.442977N,00220.647729W,34.35,13:24:40.87,8.59,2.32,12.73,2.93,16.33,5.39,1.36,18.39,1.6,3.3,
5224.443471N,00220.647520W,34.31,13:24:41.78,9.11,2.32,12.9,2.93,16.51,5.42,3.03,17.81,1.6,2.4,
5224.444011N,00220.647268W,34.44,13:24:42.83,8.71,2.32,12.93,2.93,16.59,5.51,1.38,18.69,1.6,3.2,
5224.444527N,00220.646908W,34.41,13:24:43.88,8.61,2.33,12.81,2.95,16.65,5.49,1.38,18.75,1.6,3.1,
5224.445021N,00220.646418W,34.55,13:24:44.78,8.84,2.32,12.9,2.91,16.76,5.37,1.39,18.88,1.6,3.7,
5224.445529N,00220.645919W,34.61,13:24:45.83,8.31,2.33,12.61,2.93,16.4,5.43,1.36,18.47,1.6,2.6,
5224.446003N,00220.645406W,34.75,13:24:46.88,8.1,2.32,12.3,2.9,16.53,5.51,4.21,32.04,4.1,3.5,
5224.446415N,00220.644926W,34.79,13:24:47.78,8.06,2.33,12.27,2.91,16.61,5.43,4.23,32.2,4.1,3.6,
5224.446975N,00220.644388W,34.91,13:24:48.83,8.03,2.33,12.64,2.93,16.78,5.47,1.39,18.9,1.6,4.5,
5224.447513N,00220.643952W,34.97,13:24:49.88,8.02,2.33,12.36,2.9,16.44,5.46,1.36,18.52,1.6,4,
5224.448065N,00220.643576W,34.98,13:24:50.77,8.17,2.33,12.67,2.9,16.88,5.4,4.3,32.72,4.1,4.1,
5224.448613N,00220.643239W,35.04,13:24:51.82,8.04,2.33,12.34,2.93,16.68,5.46,4.25,32.34,4.1,3.8,
5224.449125N,00220.642742W,35,13:24:52.87,8.04,2.34,12.3,2.93,16.48,5.57,4.2,31.95,4.1,3.8,
5224.449684N,00220.642148W,35.15,13:24:53.77,7.7,2.33,12.04,2.87,16.06,5.38,4.09,31.13,4.1,4.7,
5224.450109N,00220.641733W,35.17,13:24:54.82,8.3,2.33,12.46,2.93,16.06,5.45,1.33,18.09,1.6,3.1,
5224.450622N,00220.641196W,35.23,13:24:55.87,7.5,2.33,11.91,2.85,15.82,5.35,0.66,19.04,1.8,7.1,
5224.451165N,00220.640729W,35.28,13:24:56.77,7.4,2.33,11.73,2.86,15.81,5.32,2.44,26.06,3.2,3.3,
5224.451682N,00220.640384W,35.31,13:24:57.82,7.85,2.33,11.94,2.9,15.68,5.38,1.3,17.66,1.6,3,
5224.452182N,00220.639963W,35.39,13:24:58.87,7.89,2.33,11.94,2.92,15.57,5.4,1.29,17.54,1.6,3,
5224.452787N,00220.639565W,35.33,13:24:59.77,7.29,2.34,11.74,2.92,15.8,5.39,2.44,26.04,3.2,2.9,
5224.453364N,00220.639052W,35.31,13:25:00.82,7.61,2.33,11.91,2.9,16.1,5.42,2.48,26.53,3.2,3.4,
5224.453918N,00220.638645W,35.28,13:25:01.87,7.88,2.33,12.38,2.89,16.16,5.37,1.34,18.2,1.6,3.5,
5224.454420N,00220.638239W,35.31,13:25:02.77,7.4,2.33,12.06,2.9,16.63,5.41,2.56,27.41,3.2,1,
5224.455014N,00220.637813W,35.36,13:25:03.82,7.42,2.33,12.08,2.88,16.94,5.44,2.61,27.92,3.2,1,
5224.455507N,00220.637424W,35.35,13:25:04.87,7.44,2.34,12.22,2.94,16.79,5.53,2.59,27.67,3.2,1.2,
5224.455974N,00220.637091W,35.36,13:25:05.77,7.38,2.33,11.85,2.91,16.58,5.43,2.56,27.33,3.2,0.6,
5224.456429N,00220.636715W,35.4,13:25:06.82,8.12,2.33,12.47,2.92,16.85,5.47,4.3,32.67,4.1,3.8,
5224.456744N,00220.636551W,35.4,13:25:07.87,7.66,2.34,12.54,2.92,17.07,5.5,2.63,28.13,3.2,1.3,
5224.457135N,00220.636022W,35.32,13:25:08.77,7.98,2.33,12.47,2.91,17.17,5.51,2.65,28.3,3.2,2.1,
5224.457599N,00220.635597W,35.33,13:25:09.82,7.93,2.34,12.77,2.92,17.11,5.53,2.64,28.2,3.2,2.9,
5224.458017N,00220.635215W,35.37,13:25:10.87,7.38,2.34,12.49,2.99,17.23,5.61,2.66,28.4,3.2,2.4,
5224.458449N,00220.634670W,35.41,13:25:11.77,8.14,2.34,12.82,2.94,17.4,5.63,2.68,28.68,3.2,2.9,
5224.458932N,00220.634177W,35.42,13:25:12.82,8.39,2.34,13.34,3,17.56,5.67,1.46,19.78,1.6,4.4,
5224.459351N,00220.633906W,35.2,13:25:13.87,8.05,2.33,12.97,2.94,17.65,5.51,2.72,29.09,3.2,2.1,
5224.459823N,00220.633558W,35.16,13:25:14.77,8.06,2.34,13.36,2.93,18.26,5.62,2.81,30.09,3.2,2,
5224.460226N,00220.633101W,35.18,13:25:15.82,8.33,2.34,13.61,2.97,18.62,5.65,2.87,30.69,3.2,1.6,
5224.460614N,00220.632788W,35.15,13:25:16.87,8.41,2.34,13.79,2.98,19.06,5.73,2.94,31.41,3.2,1.8,
5224.460982N,00220.632672W,35.12,13:25:17.77,8.54,2.33,14.01,2.96,19.05,5.66,2.94,31.4,3.2,1.9,
5224.461328N,00220.632221W,35.11,13:25:18.82,8.37,2.33,13.99,2.93,19.48,5.62,3,32.1,3.2,2.6,
5224.461639N,00220.631906W,35.25,13:25:19.87,8.28,2.34,13.69,2.96,19.34,5.78,2.98,31.87,3.2,2.3,
5224.461970N,00220.631770W,35.27,13:25:20.77,8.8,2.34,14.31,3.02,19.67,5.87,3.03,32.42,3.2,1.7,
5224.462271N,00220.631625W,35.31,13:25:21.82,8.88,2.33,14.41,2.98,19.57,5.88,3.02,32.25,3.2,2.5,
5224.462487N,00220.631398W,35.28,13:25:22.87,9.84,2.33,15.01,3.01,19.73,5.83,1.64,22.22,1.6,3.6,
5224.462700N,00220.631255W,35.43,13:25:23.77,11.71,2.35,15.75,3.11,19.74,5.83,3.63,21.3,1.6,3.7,
5224.462960N,00220.631098W,35.42,13:25:24.82,13.41,2.38,16.34,3.12,19.47,5.85,11.2,62.91,8.4,4.5,
5224.462793N,00220.630985W,35.48,13:25:25.87,11.88,2.32,15.78,3.07,19.03,5.73,8.24,24.82,3,3.4,
5224.462866N,00220.630801W,35.5,13:25:26.77,11.89,2.32,15.31,2.95,18.84,5.52,8.15,24.57,3,2.4,
5224.462775N,00220.630774W,35.56,13:25:27.82,9.27,2.3,13.74,2.83,17.84,5.22,1.48,20.09,1.6,3.5,
5224.462634N,00220.630279W,35.64,13:25:28.87,9.49,2.3,13.68,2.84,18,5.22,1.49,20.28,1.6,4.5,
5224.462466N,00220.630231W,35.79,13:25:29.77,10.34,2.29,14.09,2.85,18.09,5.25,3.32,19.52,1.6,2.6,
5224.462221N,00220.629980W,36,13:25:30.82,11.94,2.25,15.17,2.84,18.57,5.15,8.04,24.22,3,3,
5224.462087N,00220.629545W,36.06,13:25:31.87,12.39,2.26,15.56,2.82,18.59,5.17,8.05,24.25,3,4.9,
5224.461865N,00220.629189W,36.23,13:25:32.77,11.92,2.34,14.87,2.78,17.87,4.96,7.73,23.31,3,4.6,
5224.461903N,00220.629137W,36.2,13:25:33.82,12.14,2.34,14.9,2.78,18.16,4.98,7.86,23.69,3,4.3,
5224.461904N,00220.629099W,36.24,13:25:34.72,12.38,2.35,14.85,2.74,18.12,4.89,10.42,58.55,8.4,3.6,
5224.461799N,00220.628997W,36.26,13:25:35.77,14.24,2.51,14.59,2.58,17.38,4.34,11.85,485.6,13.8,5.9,
5224.461476N,00220.629240W,36.25,13:25:36.82,11.66,2.37,12.82,2.38,16.33,4.31,9.39,52.76,8.4,1.9,
5224.461084N,00220.629758W,36.19,13:25:37.72,11.28,2.31,14.46,2.96,17.35,5.53,7.51,22.63,3,3.6,
5224.460606N,00220.630231W,36.07,13:25:38.77,10.54,2.3,13.33,3.01,16.65,5.34,7.21,21.72,3,1.4,
5224.460121N,00220.630596W,36.13,13:25:39.82,10.46,2.32,13.57,2.93,16.29,5.36,7.05,21.25,3,3.3,
5224.459586N,00220.631152W,36.08,13:25:40.72,10.02,2.32,13.46,2.92,16.15,5.17,6.99,21.06,3,3.4,
5224.459115N,00220.631484W,36.06,13:25:41.77,9.82,2.32,12.96,2.89,15.56,5.2,6.73,20.29,3,3,
5224.458591N,00220.631832W,36.01,13:25:42.82,8.5,2.33,12.34,2.9,15.59,5.16,2.87,16.82,1.6,2.7,
5224.458121N,00220.632355W,36.1,13:25:43.72,8.77,2.32,12.4,2.9,15.68,5.16,2.88,16.92,1.6,1.8,
5224.457732N,00220.632734W,36.04,13:25:44.78,8.94,2.33,12.54,2.85,15.4,5.07,2.83,16.62,1.6,3.4,
5224.457263N,00220.633189W,36.06,13:25:45.82,8.63,2.33,12.41,2.91,15.44,5.11,2.84,16.66,1.6,2.2,
5224.456785N,00220.633709W,36.13,13:25:46.72,8.74,2.34,12.24,2.88,15.25,5.1,2.8,16.45,1.6,2.5,
5224.456200N,00220.633949W,36.16,13:25:47.77,8.67,2.33,12.37,2.89,15.44,5.2,2.84,16.66,1.6,1.9,
5224.455719N,00220.634300W,36.3,13:25:48.82,8.99,2.33,12.49,2.88,15.55,5.14,2.86,16.78,1.6,2.7,
5224.455242N,00220.634638W,36.34,13:25:49.72,8.74,2.33,12.56,2.82,15.2,5.04,2.79,16.4,1.6,3.6,
5224.454844N,00220.635089W,36.3,13:25:50.77,8.79,2.33,12.54,2.9,15.45,5.18,2.84,16.67,1.6,2.6,
5224.454381N,00220.635575W,36.34,13:25:51.82,9.08,2.34,12.85,2.88,15.76,5.06,2.9,17,1.6,3,
5224.453681N,00220.636003W,36.36,13:25:52.72,9.39,2.32,13.28,2.92,15.99,5.24,2.94,17.25,1.6,4.1,
5224.453203N,00220.636292W,36.44,13:25:53.77,9.15,2.33,13.22,2.87,16.21,5.19,2.98,17.49,1.6,2.2,
5224.452739N,00220.636701W,36.47,13:25:54.82,8.88,2.33,13.03,2.87,16.17,5.12,2.97,17.45,1.6,2.6,
5224.452341N,00220.637158W,36.38,13:25:55.72,9.54,2.33,13.17,2.9,16.2,5.23,2.98,17.48,1.6,3.4,
5224.451698N,00220.637671W,36.38,13:25:56.77,8.61,2.34,12.56,2.87,15.74,5.14,2.89,16.98,1.6,2.5,
5224.451180N,00220.638120W,36.42,13:25:57.82,8.36,2.33,12.63,2.88,15.91,5.14,1.32,17.92,1.6,2.9,
5224.450757N,00220.638502W,36.35,13:25:58.72,8.2,2.34,11.88,2.82,15.09,4.89,2.77,16.28,1.6,3.2,
5224.450274N,00220.638831W,36.41,13:25:59.77,9.05,2.33,12.48,2.88,15.3,5.04,2.81,16.51,1.6,4,
5224.449860N,00220.639241W,36.23,13:26:00.82,9.02,2.32,12.48,2.84,15.71,5.09,2.89,16.95,1.6,2.1,
5224.449426N,00220.639561W,36.12,13:26:01.72,9.09,2.32,12.86,2.89,15.92,5.2,2.93,17.18,1.6,2.3,
5224.449013N,00220.640036W,36.03,13:26:02.77,9.19,2.36,12.82,2.92,16.01,5.18,2.94,17.27,1.6,2.2,
5224.448502N,00220.640501W,35.9,13:26:03.82,8.55,2.35,12.21,2.88,15.32,5.07,2.82,16.53,1.6,2,
5224.448037N,00220.641043W,35.78,13:26:04.72,9.19,2.31,12.57,2.9,15.73,5.17,2.89,16.97,1.6,2.8,
5224.447782N,00220.641205W,35.78,13:26:05.76,9.88,2.31,12.81,2.88,15.85,5.13,6.86,20.67,3,2.4,
5224.447675N,00220.641295W,35.88,13:26:06.82,11.46,2.32,13.93,2.96,16.3,5.23,4.16,15.46,0.9,1.9,
5224.447651N,00220.641216W,35.89,13:26:07.72,11.11,2.32,13.88,2.97,16.52,5.31,9.5,53.38,8.4,4.7,
5224.447645N,00220.641269W,35.9,13:26:08.77,11.91,2.36,14.14,2.99,16.6,5.37,4.23,15.75,0.9,2,
5224.447533N,00220.641375W,35.89,13:26:09.81,11.28,2.35,14.05,2.99,16.68,5.33,9.59,53.89,8.4,4.5,
5224.447585N,00220.641193W,35.82,13:26:10.71,10.24,2.32,13.39,2.91,16.21,5.2,7.02,21.14,3,2.5,
5224.447601N,00220.641213W,35.82,13:26:11.77,11.23,2.33,13.79,2.94,16.4,5.25,9.43,52.99,8.4,4.1,
5224.447264N,00220.641445W,35.81,13:26:12.81,10.19,2.33,13.66,2.94,16.5,5.23,7.14,21.52,3,3.2,
5224.446849N,00220.641874W,35.72,13:26:13.71,9.57,2.33,13.42,2.93,16.52,5.22,3.04,17.82,1.6,2.8,
5224.446382N,00220.642282W,35.68,13:26:14.77,8.61,2.33,12.55,2.9,16.29,5.25,1.35,18.35,1.6,3.9,
5224.445909N,00220.642565W,35.73,13:26:15.81,8.49,2.34,12.46,3.08,16.1,5.47,1.34,18.13,1.6,3.8,
5224.445433N,00220.642840W,35.71,13:26:16.71,8.49,2.32,12.45,2.85,15.96,5.06,1.32,17.98,1.6,3.8,
5224.444981N,00220.643141W,35.65,13:26:17.76,8.45,2.33,12.58,2.89,16.01,5.14,1.33,18.03,1.6,3.3,
5224.444520N,00220.643382W,35.64,13:26:18.81,8.3,2.34,12.27,2.88,15.68,5.19,1.3,17.66,1.6,3.7,
5224.444042N,00220.643697W,35.55,13:26:19.71,8.38,2.32,12.28,2.85,15.37,5.07,2.82,16.58,1.6,2.8,
5224.443638N,00220.643967W,35.47,13:26:20.76,8.68,2.33,12.6,2.92,16.73,5.43,1.39,18.84,1.6,3.9,
5224.443109N,00220.644228W,35.43,13:26:21.81,8.7,2.31,12.6,2.84,16.03,5.14,2.95,17.3,1.6,2.9,
5224.442599N,00220.644471W,35.44,13:26:22.71,8.49,2.32,12.29,2.85,15.67,5.17,2.88,16.91,1.6,3.2,
5224.442085N,00220.644784W,35.37,13:26:23.76,8.47,2.32,12.02,2.89,15.61,5.17,2.87,16.84,1.6,3.8,
5224.441578N,00220.645034W,35.34,13:26:24.81,8.52,2.32,12.26,2.91,15.55,5.2,2.86,16.78,1.6,2.7,
5224.441076N,00220.645335W,35.26,13:26:25.71,8.61,2.32,12.3,2.84,15.54,5.07,2.86,16.77,1.6,2.2,
5224.440602N,00220.645589W,35.17,13:26:26.76,8.51,2.32,12.3,2.86,15.37,5.17,2.82,16.58,1.6,2.4,
5224.440150N,00220.645830W,35.15,13:26:27.81,8.3,2.33,12.14,2.87,15.38,5.11,2.83,16.59,1.6,3.2,
5224.439662N,00220.646078W,35.02,13:26:28.71,8.01,2.32,11.79,2.85,15.21,5.04,1.26,17.13,1.6,4,
5224.439269N,00220.646312W,35.04,13:26:29.76,8.49,2.31,12.13,2.86,15.36,5.06,2.82,16.57,1.6,2.4,
5224.438759N,00220.646494W,35.08,13:26:30.81,9.19,2.32,12.95,2.9,16.06,5.27,2.95,17.33,1.6,2.3,
5224.438295N,00220.646633W,35.14,13:26:31.71,9.04,2.32,13.3,2.92,16.58,5.23,3.05,17.89,1.6,2.5,
5224.437886N,00220.646786W,35.14,13:26:32.76,9.53,2.33,14.12,2.95,17.57,5.44,3.23,18.96,1.6,2.9,
5224.437749N,00220.646722W,35.17,13:26:33.81,7.8,2.35,13.4,2.94,17.73,5.43,0.74,21.34,1.8,5.6,
5224.437664N,00220.646792W,35.2,13:26:34.71,7.73,2.32,12.53,2.87,17.45,5.27,2.69,28.76,3.2,1,
5224.437616N,00220.646717W,35.16,13:26:35.76,7.48,2.32,12.41,2.9,16.92,5.39,2.61,27.89,3.2,1.5,
5224.437910N,00220.646944W,35.08,13:26:36.81,6.48,2.32,11.2,2.83,16.23,5.12,0.87,24.44,2.6,2.1,
5224.438050N,00220.647081W,35.05,13:26:37.71,7.35,2.32,11.39,2.87,15.96,5.32,2.46,26.3,3.2,1.5,
5224.438251N,00220.647204W,35.11,13:26:38.76,7.96,2.31,12,2.88,16.16,5.22,4.12,31.33,4.1,3.4,
5224.438238N,00220.647243W,35.06,13:26:39.81,7.64,2.31,12.11,2.89,16.39,5.26,2.53,27.01,3.2,2.8,
5224.438233N,00220.647273W,35.03,13:26:40.71,7.64,2.31,12.34,2.91,16.71,5.27,2.58,27.54,3.2,2.1,
5224.438230N,00220.647283W,35.02,13:26:41.76,7.53,2.31,11.88,2.87,16.26,5.24,2.51,26.8,3.2,2.3,
5224.438218N,00220.647308W,35,13:26:42.81,7.56,2.31,11.99,2.88,16.04,5.27,2.47,26.44,3.2,3.7,
5224.438209N,00220.647321W,34.99,13:26:43.71,7.5,2.31,12.03,2.88,16.23,5.26,2.5,26.75,3.2,2.7,
5224.438187N,00220.647314W,34.97,13:26:44.76,7.36,2.32,11.96,2.9,16.37,5.35,2.52,26.98,3.2,1.3,
5224.438209N,00220.647335W,34.97,13:26:45.81,7.21,2.31,11.61,2.89,16.01,5.24,2.47,26.39,3.2,1.3,
5224.438181N,00220.647348W,34.94,13:26:46.71,7.29,2.32,11.69,2.86,16.17,5.29,2.49,26.65,3.2,1.2,
5224.438192N,00220.647347W,34.94,13:26:47.76,7.23,2.31,11.69,2.88,16.11,5.23,2.48,26.55,3.2,1.2,
5224.438176N,00220.647349W,34.93,13:26:48.81,7.28,2.32,11.67,2.88,16.02,5.24,2.47,26.4,3.2,1.7,
5224.438182N,00220.647353W,34.92,13:26:49.71,7.25,2.31,11.66,2.87,15.77,5.22,2.43,25.99,3.2,2.7,
5224.438182N,00220.647366W,34.92,13:26:50.76,7.33,2.31,11.62,2.87,16.11,5.19,2.48,26.55,3.2,1.4,
5224.438179N,00220.647368W,34.91,13:26:51.81,7.3,2.31,11.8,2.9,16.08,5.27,2.48,26.5,3.2,1.9,
5224.438180N,00220.647349W,34.9,13:26:52.71,7.27,2.31,11.66,2.86,15.93,5.27,2.46,26.25,3.2,2,
5224.438172N,00220.647349W,34.88,13:26:53.76,7.19,2.31,11.68,2.88,16.06,5.25,2.48,26.47,3.2,1.2,
5224.438177N,00220.647352W,34.87,13:26:54.81,7.19,2.3,11.48,2.83,15.49,5.06,2.39,25.53,3.2,3.2,
5224.438167N,00220.647242W,34.83,13:26:55.71,7.38,2.32,11.82,2.87,16.16,5.28,2.49,26.63,3.2,2,
5224.437909N,00220.646908W,35.05,13:26:56.76,6.92,2.31,11.47,2.86,16.27,5.25,2.51,26.81,3.2,2.1,
5224.437549N,00220.646746W,35.07,13:26:57.66,6.55,2.32,10.94,2.79,15.93,5.13,0.85,23.99,2.6,3.4,
5224.437165N,00220.646537W,35.11,13:26:58.71,7.06,2.32,11.22,2.84,15.78,5.27,2.43,26.01,3.2,0.5,
5224.436998N,00220.646400W,35.39,13:26:59.76,7.45,2.31,11.42,2.81,15.8,5.26,2.44,26.04,3.2,2.7,
5224.436821N,00220.645997W,35.44,13:27:00.66,7.29,2.32,11.72,2.87,16.28,5.34,2.51,26.83,3.2,0.8,
5224.436714N,00220.645678W,35.56,13:27:01.71,7.42,2.3,11.56,2.82,16.17,5.25,2.49,26.65,3.2,1.4,
5224.436533N,00220.645580W,35.67,13:27:02.76,7.98,2.32,12.45,2.86,16.57,5.34,4.22,32.12,4.1,4.4,
5224.436458N,00220.645636W,35.6,13:27:03.66,7.97,2.3,12.59,2.89,17.1,5.47,2.64,28.18,3.2,2.6,
5224.436785N,00220.645374W,35.61,13:27:04.71,8.67,2.3,12.82,2.84,16.99,5.35,1.41,19.14,1.6,3.3,
5224.437250N,00220.645330W,35.57,13:27:05.76,9.09,2.31,13.32,2.87,16.98,5.4,3.12,18.32,1.6,3.2,
5224.437860N,00220.645074W,35.59,13:27:06.66,8.82,2.32,13.23,2.88,17.67,5.42,4.5,34.25,4.1,3.2,
5224.438520N,00220.644718W,35.63,13:27:07.71,9.12,2.31,13.47,2.89,17.37,5.38,1.44,19.57,1.6,3.4,
5224.439123N,00220.644383W,35.72,13:27:08.76,9.54,2.32,13.86,2.91,17.92,5.57,1.49,20.18,1.6,4.1,
5224.439692N,00220.644003W,35.84,13:27:09.66,9.21,2.32,14.02,2.88,18.14,5.54,1.51,20.43,1.6,2.7,
5224.440161N,00220.643618W,35.92,13:27:10.71,9.59,2.32,14.12,2.9,18.23,5.53,1.51,20.53,1.6,3.8,
5224.440650N,00220.643307W,35.82,13:27:11.76,9.46,2.32,14.16,2.87,18.31,5.49,1.52,20.62,1.6,3.3,
5224.441261N,00220.642822W,35.97,13:27:12.66,9.45,2.32,14.18,2.92,18.32,5.57,1.52,20.64,1.6,3.2,
5224.441861N,00220.642309W,36.05,13:27:13.71,9.56,2.32,14.32,2.92,18.28,5.57,1.52,20.59,1.6,3.3,
5224.442431N,00220.641838W,36.14,13:27:14.76,9.15,2.33,14.25,2.95,18.45,5.5,1.53,20.78,1.6,2.9,
5224.443001N,00220.641459W,36.16,13:27:15.66,9.73,2.32,14.13,2.87,17.89,5.38,3.29,19.3,1.6,2.7,
5224.443506N,00220.640963W,36.26,13:27:16.71,8.94,2.32,14.05,2.89,17.84,5.52,1.48,20.09,1.6,1.7,
5224.443985N,00220.640317W,36.42,13:27:17.76,9.3,2.33,14.49,2.91,18.31,5.6,1.52,20.62,1.6,2,
5224.444479N,00220.639745W,36.62,13:27:18.66,10.08,2.33,15,2.91,17.73,5.47,1.16,18.6,1.2,5.4,
5224.444955N,00220.639265W,36.83,13:27:19.71,10.32,2.32,15.03,2.93,17.72,5.59,1.16,18.59,1.2,6.1,
