block,plots,VCP0.32,VCP0.71,VCP1.18,lo1inph,lo2inph,lo3inph,lo1err,lo2err,lo3err,HCP0.32,HCP0.71,HCP1.18,hi1inph,hi2inph,hi3inph,hi1err,hi2err,hi3err,repeat,treatment,name
1,20,20.77,22.99,27.5,2.9,3.14,3.44,0,0.2,0.4,20.11,26.79,34.77,3.08,3.33,3.79,0,0.6,0,3,44,SY112-933 (short)
1,21,20.96,21.79,25.58,2.87,3.13,3.43,0.3,0.2,0.5,19.63,23.34,31.36,3.09,3.33,3.71,0.3,0,0,1,13,Riband
1,21,19.4,20.9,25.28,2.93,3.15,3.41,0.1,0,0.3,18.31,23.22,31.07,3.06,3.32,3.73,0.1,0.3,0.1,2,13,Riband
1,21,20.31,22.27,26.98,2.93,3.16,3.45,0,0.3,0.1,20.52,25.35,33.84,3.05,3.3,3.7,0,0,0.1,3,13,Riband
1,22,18.69,22.05,26.34,2.92,3.13,3.42,0.1,0.3,0,19.86,25.47,33.09,3.07,3.31,3.75,0.2,0.3,0.1,1,28,SY Ovation
1,22,21.57,24.31,27.94,2.9,3.11,3.4,0,0.3,0.2,20.97,25.84,31.4,3.15,3.32,3.73,0.2,0,0.1,2,28,SY Ovation
1,22,20.7,23.21,26.44,2.95,3.16,3.44,0,0,0,18.22,23.76,30.85,2.97,3.26,3.72,0.1,0.1,0,3,28,SY Ovation
1,23,21.92,22.56,26.46,2.89,3.1,3.37,0.2,0.3,0,20.66,26.17,32.29,3.07,3.3,3.73,0,0.3,0.1,1,18,5602HR:1-
1,23,24.41,23.82,26.64,2.85,3.11,3.39,0.1,0.2,0.4,23.18,26.93,34.1,3.04,3.31,3.71,0,0.3,0.3,2,18,5602HR:1-
1,23,21.33,22.58,26.39,2.93,3.13,3.34,0,0,0.1,19.79,26.14,35.32,3,3.24,3.66,0,0.1,0.2,3,18,5602HR:1-
1,24,21.31,23.55,28.59,2.91,3.16,3.44,0.1,0.1,0.1,21.71,28.33,36.51,3.04,3.3,3.76,0.1,0.2,0,1,56,Kranich 
1,24,22.79,24.36,28.4,2.9,3.15,3.44,0.1,0,0.1,21.67,27.98,37.3,3.05,3.29,3.77,0,0.1,0.1,2,56,Kranich 
1,24,22.01,23.35,27.92,2.9,3.15,3.44,0.1,0,0,20.51,27.61,37.96,3.04,3.31,3.75,0.1,0.2,0,3,56,Kranich 
