x,y,VCP0.32,VCP0.71,VCP1.18,VCP0.32_inph,VCP0.71_inph,VCP1.18_inph,HCP0.32,HCP0.71,HCP1.18,HCP0.32_inph,HCP0.71_inph,HCP1.18_inph
21,2,19.4565555555556,13.27,13.77,1.77,1.89,2.14,14.65,13.7,15.48,2.13,2.26,2.6
22,2,19.4584444444444,12.66,13.46,1.78,1.9,2.15,14.34,14.18,15.79,2.14,2.25,2.65
23,2,18.4403333333333,12.47,13.51,1.77,1.87,2.11,13.24,14.08,16.4,2.14,2.27,2.64
24,2,20.8408888888889,12.94,13.84,1.76,1.86,2.13,14.79,14.21,15.67,2.13,2.24,2.64
25,2,19.2927777777778,12.71,13.76,1.77,1.87,2.13,14.57,14.31,15.34,2.13,2.28,2.65
26,2,19.3046666666667,12.22,13.3,1.74,1.86,2.11,13.93,13.2,15.22,2.15,2.3,2.6
27,2,21.1752222222222,13.79,14.9,1.78,1.89,2.16,14.99,14.44,16.91,2.17,2.3,2.68
28,2,21.8071111111111,14.04,14.33,1.75,1.86,2.13,14.93,14.87,17.02,2.15,2.29,2.67
29,2,21.349,13.95,14.64,1.76,1.86,2.13,15.35,14.85,17.01,2.12,2.26,2.69
0,3,30.4891111111111,31.62,35.7,1.8,1.92,2.19,35.2,36.43,39.25,2.15,2.25,2.71
1,3,30.3195555555556,29.79,33.26,1.78,1.93,2.19,32.23,32.54,36.77,2.17,2.24,2.71
2,3,27.45,26.59,29.86,1.76,1.87,2.18,26.79,31.96,37.96,2.18,2.27,2.69
3,3,21.4977777777778,20.43,23.24,1.8,1.89,2.19,24.28,24.04,29.73,2.18,2.29,2.72
4,3,22.3882222222222,21.67,25.13,1.8,1.93,2.23,26.18,26.93,31.96,2.17,2.38,2.68
5,3,23.3986666666667,22.86,25.93,1.8,1.91,2.18,26.53,27.41,33.46,2.18,2.26,2.67
6,3,20.3064444444444,19.25,22.06,1.81,1.93,2.19,21.69,22.82,27.97,2.16,2.24,2.68
7,3,21.8268888888889,20.06,23.22,1.82,1.93,2.22,23.06,24.04,28.29,2.16,2.23,2.64
8,3,20.0573333333333,18.48,21.6,1.82,1.93,2.22,22.09,23.08,28.11,2.18,2.23,2.64
9,3,19.1251111111111,17.02,18.49,1.83,1.92,2.19,22.35,23.63,26.44,2.14,2.22,2.6
10,3,20.8655555555556,19.4,21.4,1.79,1.91,2.18,23,22.57,26.11,2.14,2.23,2.61
11,3,21.186,18.99,21.01,1.79,1.93,2.18,28.04,23.36,25.95,2.22,2.31,2.74
