VCP0.32,VCP0.71,VCP1.18,HCP0.32,HCP0.71,HCP1.18,VCP0.32_inph,VCP0.71_inph,VCP1.18_inph,HCP0.32_inph,HCP0.71_inph,HCP1.18_inph,plot,name,block
17.29,19.33,24.34,18.4,27.57,34.71,3.27,3.44,3.68,3.55,3.77,4.39,44,var43,1
18.94,19.68,23.88,19.84,27.23,33.65,3.24,3.42,3.68,3.53,3.75,4.19,44,var43,1
16.29,16.82,20.96,17.94,26.06,32.73,3.24,3.45,3.73,3.58,3.79,4.19,44,var43,1
15.5,17.36,22.78,25.94,36.33,49.17,3.34,3.56,3.81,3.55,2.37,-1.82,45,var44,1
14.83,16.61,22.04,26.46,36.26,50.31,3.34,3.59,3.83,3.47,2.18,-2.78,45,var44,1
15.92,17.46,22.79,25.72,35.9,55.13,3.31,3.56,3.85,3.54,2.3,-4.32,45,var44,1
18.57,20.4,25.66,20.15,27.25,33.38,3.33,3.57,3.85,3.6,3.8,4.33,46,var45,1
18.03,19.41,24.06,18.56,28.03,34.12,3.32,3.55,3.85,3.63,3.84,4.38,46,var45,1
17.27,19.31,23.78,20.27,28.73,34.79,3.31,3.54,3.84,3.61,3.85,4.42,46,var45,1
19.71,19.15,23.58,20.08,26.68,34.89,3.25,3.44,3.77,3.58,3.89,4.36,47,var46,1
17.87,19.11,23.18,18.66,26.96,34.1,3.31,3.53,3.82,3.67,3.88,4.5,47,var46,1
18.13,18.35,22.4,17.77,25.86,32.42,3.31,3.56,3.83,3.62,3.84,4.41,47,var46,1
19.59,21.37,26.12,20.7,29.27,35.59,3.35,3.56,3.81,3.6,3.82,4.36,48,var47,1
17.45,20.05,25.46,20.19,29.48,36.81,3.31,3.5,3.77,3.61,3.77,4.37,48,var47,1
19.29,22.21,26.99,21.14,29.93,35.89,3.33,3.51,3.8,3.59,3.77,4.32,48,var47,1
18.31,20.42,25.72,19.93,31.08,39.36,3.35,3.6,3.86,3.64,3.79,4.33,49,var48,1
19.66,21.1,25.78,20.27,29.68,37.5,3.33,3.59,3.82,3.6,3.82,4.31,49,var48,1
