x,y,VCP1.48f10000h1,VCP2.82f10000h1,VCP4.49f10000h1,HCP1.48f10000h1,HCP2.82f10000h1,HCP4.49f10000h1
468161.836734694,468762.244897959,62.1856299592758,42.2521679018228,38.8195462512233,25.9717393563392,27.620766138091,38.3400930907451
468165.306122449,468762.244897959,65.4312448763958,39.4374804039753,36.6322949042984,22.239243148916,25.563651159592,30.599417666952
468082.040816327,468766.326530612,20.5627817305931,23.0669336649734,26.0166547336343,14.5335496576455,16.2314450138744,19.9220331527176
468085.510204082,468766.326530612,21.5725942462257,23.9290307477037,26.7950015743039,14.9161797899319,17.1142552844004,21.000131852178
468088.979591837,468766.326530612,22.7279276250236,24.8317135100159,27.5573107946962,14.0842646069693,17.5915366261347,22.209214930162
468092.448979592,468766.326530612,23.4380345491958,25.2416846338265,27.8028695661282,15.6957502219936,18.5432278214825,22.6317408031095
468095.918367347,468766.326530612,22.1997439762292,23.7339029663909,26.1331326960857,15.7225705948199,18.8239681181384,23.1202245458092
468099.387755102,468766.326530612,21.2994686913282,22.5801217330123,24.9062540987698,15.9847395966869,19.3421554036059,23.8316654650839
468102.857142857,468766.326530612,20.8260595904311,22.4292156553589,25.065167346729,16.1682696440573,19.6118160809258,23.8676821239767
468106.326530612,468766.326530612,26.3438789252594,25.7898183145018,27.2839963775621,16.3150127442083,19.702221653824,24.0365006574941
468109.795918367,468766.326530612,31.3614400145273,29.6342327137782,30.4277783379105,16.6934727076308,19.7857714124635,24.4822400694018
468113.265306122,468766.326530612,32.1717442077217,29.566835347086,30.0396340736616,16.2196926553963,19.4154646967168,24.4075995695099
468116.734693878,468766.326530612,29.2157265571625,27.9047664456298,28.9491498671336,16.2410807385596,19.482375527451,24.2656412624714
468120.204081633,468766.326530612,28.4139741726631,28.4749371365352,30.011797988605,16.1424468958494,19.4454007412032,24.0659374329948
468123.673469388,468766.326530612,24.4591089109365,26.2005551506485,28.5803150327119,16.3239591428011,19.7447020482951,24.2954980852332
468127.142857143,468766.326530612,22.1462803140155,24.1022837186478,27.0174479096328,15.4269417403992,19.4218192785963,24.3523967050959
468130.612244898,468766.326530612,19.4189115976199,21.8360518613853,25.4483061575829,14.8659270844179,19.1995137750225,24.5618735396491
468134.081632653,468766.326530612,20.1480736567805,22.53022619925,26.2627033124298,14.8332478256137,19.1194290701941,24.8738535046218
468137.551020408,468766.326530612,25.0093509995978,26.6422036776755,29.9200704582431,14.2064965604771,18.6630831272631,24.495670212944
468141.020408163,468766.326530612,29.9350033758999,30.627527649166,33.4243696483404,13.7342454135063,17.3772726763318,22.5423283296768
468144.489795918,468766.326530612,29.9717364273798,31.4249989371444,34.3957331459651,16.0406433606062,20.7271432693822,25.8736758198255
468147.959183674,468766.326530612,28.4129634973486,31.2101066203287,34.4523735313023,19.5841417524984,23.1586988666412,27.020775801496
468151.428571429,468766.326530612,26.390019329287,30.8158064953502,34.7175694892974,24.2320310238646,26.2197308888794,28.1172741223064
468154.897959184,468766.326530612,31.5390231975788,34.2977017664685,36.4069085419697,24.7006363639907,27.0442809964396,29.0882177308846
468158.367346939,468766.326530612,37.3892083400683,38.2310650624802,38.1994724328042,26.3767497570301,28.0032956103368,29.4845572684897
468161.836734694,468766.326530612,41.7842091957539,41.1724178885398,39.2768814315711,27.3544744155436,28.961907274556,32.7150237311742
468165.306122449,468766.326530612,38.7700628077302,38.7068176971744,37.8518957723185,23.8545830445001,26.5739575987599,28.618686215337
468168.775510204,468766.326530612,37.0756643872317,36.2920575766075,36.400107541729,21.6793017969584,25.2149437710964,29.3490902509212
468172.244897959,468766.326530612,44.5205573991326,36.265120873974,34.8657270043555,20.3752506110667,24.3452506390672,29.8103624032835
468175.714285714,468766.326530612,77.4936587150278,43.6076953873897,34.7331478096351,19.7789508225436,23.6755709683153,29.878857832084
468179.183673469,468766.326530612,99.2331937663583,48.1750117490239,34.886218671476,20.1546230240517,23.8262127072985,33.3510571251099
468082.040816327,468770.408163265,19.6855895322053,21.7695789693838,24.4614363664035,13.6309751419465,15.9184358694931,19.5835134106145
468085.510204082,468770.408163265,21.0600624506905,22.9581323714627,25.5298447054061,14.0663552781472,16.697354718105,20.5489991869127
468088.979591837,468770.408163265,22.3903815972508,24.1014733638198,26.5455344191788,14.351908169493,17.2920842186672,21.302220585513
468092.448979592,468770.408163265,22.4124287526527,24.2023266482756,26.7012255553112,15.1053919789895,17.9647388773673,21.8666386657193
