    P+   P-        C+   C-  Normalised_Error  Observed_Rho  Calculated_Rho  Original_Weight  Final_Weight    C
   29   30        38   39       -0.29839        113.892        107.330         0.50287E+01    0.50287E+01    0
   29   30        39   40       -0.28505        115.698        107.158         0.37174E+01    0.37174E+01    0
   29   30        40   41       -0.24321        118.912        109.239         0.28663E+01    0.28663E+01    0
   30   31        32   33       -1.49830         68.972         67.609         0.96463E+02    0.75055E+02    1
   30   31        33   34        0.00887         78.480         78.490         0.72112E+02    0.64434E+02    1
   30   31        34   35       -0.42441         98.120         97.222         0.46173E+02    0.46173E+02    0
   30   31        35   36       -0.81102        117.825        114.665         0.29831E+02    0.29831E+02    0
   30   31        36   37       -0.29112        106.065        104.137         0.15873E+02    0.15873E+02    0
   30   31        37   38       -0.46292        105.756        100.958         0.99689E+01    0.99689E+01    0
   30   31        38   39       -0.47295        116.102        108.831         0.73130E+01    0.73130E+01    0
   30   31        39   40       -0.44956        119.313        109.552         0.52674E+01    0.52674E+01    0
   30   31        40   41       -0.39423        124.123        112.439         0.39877E+01    0.39877E+01    0
   30   31        41   42       -0.26138        122.334        111.957         0.29487E+01    0.29487E+01    0
   31   32        33   34       -0.55788         54.867         54.544         0.94574E+02    0.94574E+02    0
   31   32        34   35       -0.60726         67.996         67.382         0.66971E+02    0.66971E+02    0
   31   32        35   36       -0.34208         82.736         82.034         0.40191E+02    0.40191E+02    0
   31   32        36   37        0.12429         76.328         76.807         0.19844E+02    0.19844E+02    0
   31   32        37   38       -0.21994         77.867         76.419         0.11721E+02    0.11721E+02    0
   31   32        38   39       -0.37983         87.634         83.702         0.82736E+01    0.82736E+01    0
   31   32        39   40       -0.40877         91.568         85.309         0.57735E+01    0.57735E+01    0
   31   32        40   41       -0.34861         96.002         88.425         0.42404E+01    0.42404E+01    0
   31   32        41   42       -0.25236         96.313         88.772         0.30952E+01    0.30952E+01    0
   31   32        42   43       -0.27446        107.689         96.885         0.25960E+01    0.25960E+01    0
   32   33        34   35       -0.09837         60.440         60.378         0.95465E+02    0.95465E+02    0
   32   33        35   36        0.07669         70.908         70.988         0.68508E+02    0.68508E+02    0
   32   33        36   37        0.92494         67.535         69.413         0.33729E+02    0.33729E+02    0
   32   33        37   38        0.02169         71.764         71.847         0.18700E+02    0.18700E+02    0
   32   33        38   39       -0.33687         82.926         80.717         0.12472E+02    0.12472E+02    0
   32   33        39   40       -0.48244         88.886         83.919         0.83909E+01    0.83909E+01    0
   32   33        40   41       -0.46176         95.391         88.341         0.60137E+01    0.60137E+01    0
   32   33        41   42       -0.26157         95.530         89.788         0.42196E+01    0.42196E+01    0
   32   33        42   43       -0.36171        109.578         98.879         0.35210E+01    0.35210E+01    0
   32   33        43   44       -0.25805        109.815         99.615         0.26472E+01    0.26472E+01    0
   33   34        35   36       -0.14476         71.920         71.812         0.96733E+02    0.96733E+02    0
   33   34        36   37       -0.69351         63.699         63.018         0.64535E+02    0.64535E+02    0
   33   34        37   38        0.80695         65.181         66.811         0.32681E+02    0.32681E+02    0
   33   34        38   39       -0.18055         77.165         76.473         0.20053E+02    0.20053E+02    0
   33   34        39   40       -0.48737         84.096         80.916         0.12645E+02    0.12645E+02    0
   33   34        40   41       -0.34861         90.031         86.412         0.84982E+01    0.84982E+01    0
   33   34        41   42       -0.36359         94.417         88.823         0.59525E+01    0.59525E+01    0
   33   34        42   43       -0.31397        105.406         98.531         0.46549E+01    0.46549E+01    0
   33   34        43   44       -0.19096        105.596         99.818         0.33932E+01    0.33932E+01    0
   33   34        44   45       -0.24410        112.162        102.480         0.27037E+01    0.27037E+01    0
   34   35        36   37       -0.84222         65.819         65.245         0.96135E+02    0.96135E+02    0
   34   35        37   38        0.47910         60.690         61.156         0.62703E+02    0.62703E+02    0
   34   35        38   39        0.37126         70.201         70.952         0.34901E+02    0.34901E+02    0
   34   35        39   40       -0.38468         78.486         77.019         0.20382E+02    0.20382E+02    0
   34   35        40   41       -0.26901         85.940         84.169         0.12917E+02    0.12917E+02    0
   34   35        41   42       -0.32976         91.564         88.136         0.86418E+01    0.86418E+01    0
   34   35        42   43       -0.30110        103.672         99.003         0.65336E+01    0.65336E+01    0
   34   35        43   44       -0.16789        104.979        101.246         0.46361E+01    0.46361E+01    0
