layer1,layer2,layer3,layer4,layer5,layer6,layer7,layer8,layer9,layer10,layer11,layer12,layer13,layer14,depth1,depth2,depth3,depth4,depth5,depth6,depth7,depth8,depth9,depth10,depth11,depth12,depth13,
30.8423033,20.35374814,13.6317784,9.433072352,7.157683774,6.14137444,5.804841238,5.794414185,5.929439668,6.120700208,6.320712976,6.501105188,6.650704975,6.768647624,0.03125,0.10155,0.18945,0.29935,0.43665,0.6083,0.8229,1.0911,1.4264,1.8455,2.3693,3.0242,3.8427,
26.48515507,19.16590003,13.26365493,9.304056569,7.101264025,6.090875868,5.741846578,5.724098454,5.862351976,6.06575276,6.280618013,6.475425759,6.635700066,6.760868095,0.03125,0.10155,0.18945,0.29935,0.43665,0.6083,0.8229,1.0911,1.4264,1.8455,2.3693,3.0242,3.8427,
29.02167919,20.36950278,13.82322855,9.498480243,7.11136396,6.024822268,5.652911249,5.637296353,5.789382273,6.010337781,6.242586928,6.451612903,6.622078008,6.754018641,0.03125,0.10155,0.18945,0.29935,0.43665,0.6083,0.8229,1.0911,1.4264,1.8455,2.3693,3.0242,3.8427,
33.29448976,22.42957115,14.91112967,9.838646202,7.087674534,5.893446488,5.518459246,5.530055854,5.712000914,5.958410296,6.209637357,6.432109089,6.611570248,6.749004522,0.03125,0.10155,0.18945,0.29935,0.43665,0.6083,0.8229,1.0911,1.4264,1.8455,2.3693,3.0242,3.8427,
32.66159323,22.87230393,15.3233221,9.818360334,6.879471657,5.676013168,5.350454789,5.417118093,5.642385601,5.917509912,6.18735305,6.420958007,6.60720185,6.747638327,0.03125,0.10155,0.18945,0.29935,0.43665,0.6083,0.8229,1.0911,1.4264,1.8455,2.3693,3.0242,3.8427,
27.58164166,20.52503027,14.00756408,9.07935355,6.457028475,5.42211137,5.196694902,5.329638118,5.597850425,5.897965202,6.180851721,6.420958007,6.609822196,6.751282744,0.03125,0.10155,0.18945,0.29935,0.43665,0.6083,0.8229,1.0911,1.4264,1.8455,2.3693,3.0242,3.8427,
42.22794645,23.42853127,13.55325753,8.49617672,6.150439756,5.276209571,5.128468127,5.303632989,5.595970901,5.908419498,6.195019205,6.434592369,6.621201086,6.760411033,0.03125,0.10155,0.18945,0.29935,0.43665,0.6083,0.8229,1.0911,1.4264,1.8455,2.3693,3.0242,3.8427,
41.09138725,22.77178121,13.29575068,8.478168716,6.210408645,5.343307507,5.187260089,5.355899523,5.643977876,5.950964056,6.230529595,6.462035541,6.640988179,6.774608766,0.03125,0.10155,0.18945,0.29935,0.43665,0.6083,0.8229,1.0911,1.4264,1.8455,2.3693,3.0242,3.8427,
24.26418848,18.91396039,13.45297513,9.081002543,6.615506748,5.587216449,5.344164173,5.468365506,5.731644409,6.020107158,6.283380459,6.50026001,6.668000267,6.793016779,0.03125,0.10155,0.18945,0.29935,0.43665,0.6083,0.8229,1.0911,1.4264,1.8455,2.3693,3.0242,3.8427,
29.40484592,21.55079522,14.79202414,9.740892266,6.970584135,5.809225049,5.503880236,5.594405594,5.83498658,6.103143119,6.346385733,6.54535934,6.69926978,6.814310051,0.03125,0.10155,0.18945,0.29935,0.43665,0.6083,0.8229,1.0911,1.4264,1.8455,2.3693,3.0242,3.8427,
31.61455534,21.03359064,13.87039503,9.301460329,6.864831468,5.839075091,5.583784689,5.690548,5.929791271,6.185822096,6.411078343,6.592827004,6.731740155,6.835737234,0.03125,0.10155,0.18945,0.29935,0.43665,0.6083,0.8229,1.0911,1.4264,1.8455,2.3693,3.0242,3.8427,
33.63945235,20.07064868,12.96562812,8.824567596,6.652032196,5.767345291,5.592528382,5.745145352,6.00276127,6.257430699,6.470397929,6.636580834,6.762239654,6.855889209,0.03125,0.10155,0.18945,0.29935,0.43665,0.6083,0.8229,1.0911,1.4264,1.8455,2.3693,3.0242,3.8427,
21.4146519,16.74032409,12.56360324,8.849557522,6.625588021,5.72377082,5.579111805,5.770007501,6.052169703,6.312334301,6.51847989,6.673340007,6.78748388,6.872852234,0.03125,0.10155,0.18945,0.29935,0.43665,0.6083,0.8229,1.0911,1.4264,1.8455,2.3693,3.0242,3.8427,
32.13057867,20.29838628,14.0394227,9.377344336,6.758583401,5.733944954,5.572272373,5.780680964,6.081245439,6.349206349,6.552650547,6.699718612,6.805962023,6.885155605,0.03125,0.10155,0.18945,0.29935,0.43665,0.6083,0.8229,1.0911,1.4264,1.8455,2.3693,3.0242,3.8427,
25.52127198,18.44950371,13.77429441,9.471490813,6.838074398,5.765017872,5.579423088,5.785697755,6.093473889,6.366588145,6.569870574,6.7132116,6.815238874,6.890848953,0.03125,0.10155,0.18945,0.29935,0.43665,0.6083,0.8229,1.0911,1.4264,1.8455,2.3693,3.0242,3.8427,
29.45681631,20.03205128,14.45212013,9.80103891,7.018036353,5.855829478,5.613877505,5.791058606,6.090504903,6.364562118,6.56943897,6.712760959,6.814310051,6.889424733,0.03125,0.10155,0.18945,0.29935,0.43665,0.6083,0.8229,1.0911,1.4264,1.8455,2.3693,3.0242,3.8427,
29.87125489,20.43151357,14.88272413,10.20293641,7.296607078,6.008893162,5.673115108,5.794414185,6.070908208,6.341556218,6.550075326,6.697923644,6.80318389,6.881365263,0.03125,0.10155,0.18945,0.29935,0.43665,0.6083,0.8229,1.0911,1.4264,1.8455,2.3693,3.0242,3.8427,
36.25158601,23.01760847,16.3741158,11.0631707,7.748334108,6.220065933,5.744485294,5.789382273,6.032818533,6.298022421,6.512536633,6.66888963,6.781959986,6.865774116,0.03125,0.10155,0.18945,0.29935,0.43665,0.6083,0.8229,1.0911,1.4264,1.8455,2.3693,3.0242,3.8427,
28.93183659,21.82072096,17.18390212,11.93118095,8.232485387,6.434592369,5.806526536,5.769341718,5.977286312,6.23596907,6.45911381,6.627783669,6.751282744,6.844158511,0.03125,0.10155,0.18945,0.29935,0.43665,0.6083,0.8229,1.0911,1.4264,1.8455,2.3693,3.0242,3.8427,
30.14045452,22.61727055,18.12316503,12.64030741,8.621432882,6.608948516,5.852744937,5.739869131,5.910864168,6.161809107,6.393861893,6.57635144,6.713662303,6.81709728,0.03125,0.10155,0.18945,0.29935,0.43665,0.6083,0.8229,1.0911,1.4264,1.8455,2.3693,3.0242,3.8427,
33.00874732,23.53827323,18.53155925,12.96226684,8.872327211,6.757669955,5.904581956,5.71787981,5.846243788,6.084205403,6.322311437,6.519329813,6.671114076,6.786102063,0.03125,0.10155,0.18945,0.29935,0.43665,0.6083,0.8229,1.0911,1.4264,1.8455,2.3693,3.0242,3.8427,
20.30580543,19.24520313,16.91560803,12.64398336,9.010632546,6.933370311,5.998440405,5.725409367,5.797101449,6.012144532,6.251172095,6.460365657,6.626027034,6.753106429,0.03125,0.10155,0.18945,0.29935,0.43665,0.6083,0.8229,1.0911,1.4264,1.8455,2.3693,3.0242,3.8427,
42.60758415,26.90196922,18.27251631,12.85016705,9.310986965,7.224389539,6.171315725,5.780680964,5.774338838,5.952735282,6.185056903,6.402458544,6.581112208,6.719978496,0.03125,0.10155,0.18945,0.29935,0.43665,0.6083,0.8229,1.0911,1.4264,1.8455,2.3693,3.0242,3.8427,
28.11911256,22.28561241,16.80163984,12.81016615,9.787608887,7.672830507,6.438735432,5.889281508,5.781349367,5.909816205,6.12745098,6.348803251,6.537656904,6.687174,0.03125,0.10155,0.18945,0.29935,0.43665,0.6083,0.8229,1.0911,1.4264,1.8455,2.3693,3.0242,3.8427,
