Easting (m),Northing (m),VCP1.48,VCP2.82,VCP4.49,HCP1.48,HCP2.82,HCP4.49,Depth (m)
358856.948,524388.4566,25.1471153202082,20.1527021648292,16.5046785019634,15.6314152734064,8.25605634412071,6.47050546118183,0.445973496
358856.9351,524388.2193,24.8656059741518,20.1335597414795,16.5090007141087,15.4535790247488,8.31425597321564,6.36358998922986,0.534148828
358856.9948,524387.9183,25.1122130753538,20.0937758065411,16.402270690758,15.2067400250554,8.16879421074534,6.30126574164898,0.477675841
358856.9888,524387.731,25.6713845376419,20.1095466949786,16.3572327273966,15.1771319221244,8.15908002547605,6.49728944185693,0.588786952
358856.9524,524387.5162,26.8202419729487,20.088362058023,16.4713666939605,14.9698568285828,8.20755059585173,6.29238126024414,0.537614679
358856.9281,524387.331,26.8030840421756,19.9064671825579,16.1500937814053,14.9698568285828,8.36276295034319,6.59542556752806,0.54648318
358856.9603,524387.0747,27.5421854647924,19.6990736422283,15.821603436999,14.5753228508598,8.3336430910977,6.57758035128181,0.49714577
358856.9916,524386.9706,27.6883719128328,19.6758579163445,15.8091710475117,14.4274505387538,8.38218283487751,6.58649674946012,0.544648318
358856.9727,524386.9077,27.804704686632,19.650527098167,15.7829182717882,14.2402332516587,8.59579018625113,6.56864456129211,0.562283384
358856.9444,524386.7503,28.12733200139,19.5817945049182,15.7079823161967,14.4176256472582,8.67354962360046,6.74729455790502,0.66116208
358856.8666,524386.6026,28.3732929361013,19.4038802026227,15.5514645054478,14.3288845419375,8.65409010370402,6.55076983867574,0.645259939
358856.7961,524386.4234,28.3749345337398,19.260439098385,15.4227535329415,14.3092163541425,8.79019047926075,6.99791542773949,0.498878695
358856.7235,524386.2534,28.602165298135,19.1086103595468,15.2523958764682,14.1614304643325,9.03347444514881,7.31199966099324,0.59235474
358856.7062,524386.0125,28.6406301641378,18.8608087021577,15.030164859663,14.2500950818711,9.16987072133563,7.15932322270385,0.502344546
358856.6255,524385.8982,28.346734798745,18.6945051283713,14.9417084289606,14.2993239664678,9.17958937419587,7.05167938588089,0.574719674
358856.6433,524385.7181,28.0238368003994,18.4287379276597,14.7783504652516,13.9546034793877,9.41361773193139,7.21320046713398,0.601121305
358856.5788,524385.4925,27.7137076846368,18.0567936935488,14.5215657625465,13.9053669029648,9.24782425522292,7.50093446731832,0.595820591
358856.5475,524385.2424,27.7759528907856,17.9626736179239,14.4222914527399,13.9250494562482,9.60881555686756,7.71724768398272,0.54648318
358856.4969,524385.1297,27.5926830706267,17.6539110487659,14.185474117674,13.9152234667431,9.57952190218316,7.66316952124557,0.534148828
358856.4637,524384.9074,27.4789363226464,17.4943494389904,14.119017223429,13.816776987256,9.80419808731781,7.66316952124557,0.604689093
358856.4451,524384.6368,27.2319932828818,17.2065302413441,13.8280217502777,13.7478510331533,10.0095780372772,8.21462823312029,0.601121305
358856.4225,524384.2883,27.1005196021986,16.9484308857316,13.4863781034784,13.8955425819582,10.254327112527,9.362387089083,0.636391437
358856.3686,524383.9235,26.84265804153,16.7848984575184,13.4796773313037,14.0038243729418,10.4601690330008,10.3643525023328,0.562283384
358856.3724,524383.6248,26.5432939002912,16.6270088671614,13.378814610347,14.1811150916816,10.3229131437032,10.6971170265123,0.472477064
358856.3201,524383.3267,26.1781282833485,16.399769945177,13.3150380004288,13.8955425819582,10.2935394427864,10.0785303751978,0.682262997
358856.3808,524382.7753,25.359959550502,16.3523865858874,13.2029402742372,12.912030147494,9.98024209259389,9.12463028218005,0.689398573
358856.3575,524382.3453,24.8389962788562,16.1275347337317,12.9424133994133,12.0777273829997,9.53071580698744,9.14288157684908,0.599388379
358856.333,524382.0135,24.549725151152,16.0267731292907,12.8419549755485,11.8228528578747,9.26735511382643,8.91465599506771,0.61529052
358856.3221,524381.7595,24.3470650847172,15.9551961544414,12.7596113503322,11.8620510158321,8.91666342445777,8.83261460371757,0.676962283
358856.2988,524381.45,24.311373944201,15.9601386814794,12.766920217035,12.2641066293925,8.63463602887638,8.76884238173903,0.604689093
358856.2319,524381.0778,24.6247178116807,16.0825089532706,12.763311428167,12.5094406525432,8.45009465176763,8.14214864631184,0.581753313
358856.1776,524380.7871,24.7720234140076,16.1857554223857,12.7557167076521,12.6665050090865,8.26574637500495,8.31435695026831,0.502344546
358856.0894,524380.4374,24.7981451273054,16.3181626650022,12.7524272464721,12.6566620400851,8.19785811065424,8.13307219655041,0.599388379
358856.0233,524380.0392,24.7805718428516,16.4536313414199,12.7620906742783,12.5781490106787,8.2463589903358,8.06970418600688,0.555249745
358855.9846,524379.6928,24.5209061285071,16.4897559095417,12.6872946678492,12.6272144180521,8.43069743095177,7.69021236195344,0.438939857
358856.0019,524379.3365,24.3967032418466,16.5037221111447,12.6868819864828,12.7450515138968,8.50835506010536,7.43792414307815,0.498878695
358855.9888,524378.9601,24.3147734507055,16.6843135402501,12.7054852692327,12.8138143062156,8.45009465176763,7.04273413378867,0.493577982
358855.9811,524378.7117,24.6600680395617,16.9226705909686,12.7607058819754,12.5977666097233,8.27543623855721,7.59101443759202,0.585219164
358856.0542,524378.698,24.6520528979885,16.9210750214591,12.7577204757112,12.6174024897257,8.31425597321564,7.71724768398272,0.403669725
358856.0721,524378.6571,24.6685696023533,16.9293292739395,12.7568279363724,12.7352172993124,8.43069743095177,7.70824181289373,0.445973496
358856.0186,524378.4517,25.2806237475186,17.1725913609351,12.8735996625071,12.7450515138968,8.3336430910977,7.70824181289373,0.414271152
358855.9701,524378.0905,25.8367755458656,17.4167745037773,13.0538040588629,12.4898076510053,8.16879421074534,7.63611214453304,0.382568807
358856.009,524377.9863,25.9056179208213,17.4396649880635,13.077912510479,12.6272144180521,8.39188466410143,7.73531386309791,0.386136595
358856.0266,524377.9119,25.957629531172,17.4570339743509,13.0989106404993,12.7352172993124,8.45009465176763,7.87075343309242,0.370234455
358856.0217,524377.7302,26.0670571519007,17.4970134391776,13.1586598230089,12.754897852663,8.45983825713281,7.78946975747951,0.366768603
358855.9509,524377.4044,26.2645698636545,17.6784549655662,13.4718539125343,12.7745235137932,8.45983825713281,7.80753268889767,0.36146789
358855.9,524377.1341,25.9250140120869,17.7075388433126,13.7217435090124,12.9611602503625,8.48894569509936,7.96114660846314,0.264627931
358855.8359,524376.8268,25.4322000967966,17.6813535839924,13.952225137547,13.0397749570662,8.15908002547605,7.42895710198756,0.350866463
358855.7037,524376.4997,24.6139581273548,17.5890513452076,14.1378141077934,13.0790909195094,8.21725579661039,7.54599758793679,0.349133537
358855.6016,524376.2781,24.4455562698006,17.5587417185617,14.1751568076978,13.1282071106651,8.34333866852048,7.59101443759202,0.349133537
358855.6065,524375.9832,24.1782544664848,17.4341305089256,14.2262697787173,13.3346724024955,8.51806428477191,7.53695944611537,0.335066259
358855.5862,524375.7682,24.1412620896387,17.3996035678601,14.2318011858725,13.3740078894121,8.32395496960058,7.56399086254443,0.37196738
358855.4427,524375.4969,24.0241683892594,17.3093381963035,14.2862619924133,13.3936739405595,8.51806428477191,7.67217638842326,0.345565749
358855.4286,524375.2448,24.0877625384959,17.2816917832075,14.290849339286,13.3543409730338,8.53750507778433,7.78946975747951,0.329765545
358855.4924,524374.9159,24.7219299181093,17.29203879622,14.3580819276001,13.5805750102724,8.76104179397302,7.8346136853935,0.335066259
358855.5284,524374.6188,25.1083884474315,17.3502703457539,14.4205156442721,13.8364691390501,8.73184253706709,7.73531386309791,0.333231397
358855.535,524374.2775,25.513303504228,17.3850072833613,14.5605808106336,13.9841459409874,8.87775619581639,7.73531386309791,0.322731906
358855.5119,524373.866,25.6468481310386,17.3993750343256,14.6411927594105,14.3288845419375,8.92641262380328,7.90690695520606,0.352599388
358855.4611,524373.3676,25.075865635571,17.4426892664432,14.6123432272345,14.53589723302,9.0627037211168,7.69021236195344,0.340366972
358855.3886,524372.9713,24.7095898613061,17.4467946112297,14.4731250501776,14.4471613819434,8.99456075714214,7.8346136853935,0.352599388
358855.2566,524372.6646,24.7581908453659,17.6253224053865,14.3964359277399,14.5063355491267,8.94588191622975,7.72629586569286,0.401936799
358855.1909,524372.4186,24.8600840327285,17.6885532280182,14.3732285354021,14.27966590347,8.86803485562352,7.50093446731832,0.421304791
358855.1828,524372.2443,25.2249759438225,17.9215305353622,14.3370760052153,14.3584844664226,8.86803485562352,7.43792414307815,0.368501529
358855.1557,524371.9849,25.4685814993428,18.0065276861841,14.3630162474835,14.4570503047765,8.89721715656145,7.54599758793679,0.329765545
358855.1157,524371.7238,26.3303979683515,18.3422325965988,14.4235579658934,14.5457469824466,8.69300043988786,7.37496527082252,0.359734964
358855.0911,524371.507,26.5203866650079,18.40428564972,14.4518530568842,14.53589723302,8.70266465663511,7.41093304642257,0.389602446
358855.0803,524371.2734,27.3299455453342,18.6611540244927,14.5822898766002,14.614755930258,8.62494238071492,7.34798772193805,0.340366972
358855.0943,524371.0303,27.4283655331849,18.6989448830234,14.6005186344287,14.7035369527925,8.65409010370402,7.29405741845721,0.291029562
358855.1177,524370.7593,27.5139081881892,18.8116442462117,14.6776698856366,14.8514503701532,8.47925772698686,6.95308645709252,0.336799185
358855.1518,524370.4864,27.4549929399019,18.810498452157,14.6872560920145,15.1178700623985,8.54720252560111,6.97998929437528,0.354434251
358855.1889,524370.1874,27.0474926329468,18.8262270308271,14.7675017511021,15.0882710891916,8.39188466410143,6.83671479821284,0.386136595
358855.2406,524369.9551,26.5268176942712,18.8130443069762,14.8066333317672,15.1968452580489,8.40158160654329,6.64901761439709,0.386136595
358855.2355,524369.7493,26.3183100834965,18.7980931941393,14.8191600533265,15.2955851447449,8.30455930837048,6.5418783352875,0.349133537
358855.272,524369.5042,25.8455868853479,18.7298074086212,14.8496822837093,15.4733487462931,8.372459753865,6.52400943840995,0.403669725
