x,y,VCP1.48f10000h0.2,VCP2.82f10000h0.2,VCP4.49f10000h0.2,HCP1.48f10000h0.2,HCP2.82f10000h0.2,HCP4.49f10000h0.2,depth,dist,Z(m),Stage(m),H20cm(m),H50cm(m),H100cm(m),elevation,,,,,,,,,,,,,
358761.08759,524371.14469,40.5945042929924,29.1677315153223,23.5103642686609,26.3226599771361,18.2220943524132,16.2313725503647,0.7601427115,0.609084541463335,109.212,109.99,109.992,110.044,110.17,109.9721427115,-0.7601427115,26,25,24,22,21,19,17,15,13,11,9,8
358761.13117,524371.07151,40.4588985921591,29.1035663815147,23.4732062303615,26.3448056408776,18.2231053443763,16.2313725503647,0.754841998,0.725575745478731,109.223,109.991,109.991,110.042,110.17,109.977841998,-0.754841998,26,25,24,23,21,19,17,15,13,11,10,8
358761.18553,524370.97754,40.2995508119515,29.0302084019589,23.4379062283005,26.3548732465621,18.2342355691495,16.2756977466525,0.751304791,0.86362308360258,109.248,109.992,109.99,110.039,110.169,109.999304791,-0.751304791,26,25,24,23,21,19,17,15,13,11,10,8
358761.25243,524370.8642,40.1438630833238,28.9712599889813,23.4132084894906,26.3528622515417,18.2140003159626,16.2862964701655,0.7479510703,1.02455296414665,109.264,109.993,109.99,110.038,110.168,110.0119510703,-0.7479510703,26,25,24,23,21,19,17,15,13,11,10,8
358761.32977,524370.7284,39.9779835938057,28.9053617568975,23.3843673844537,26.3357530675212,18.197809623016,16.3345172113989,0.7430071356,1.20618775031984,109.28,109.994,109.99,110.037,110.167,110.0230071356,-0.7430071356,26,26,24,23,21,19,17,15,13,12,10,8
358761.41431,524370.56672,39.7833891959002,28.8284807749848,23.344703701782,26.2854257329253,18.1593738899885,16.3615083587067,0.7394699286,1.40909103685223,109.296,109.995,109.99,110.036,110.166,110.0354699286,-0.7394699286,26,25,24,23,21,19,17,15,13,11,10,8
358761.5029,524370.37696,39.5978082720124,28.7512732239588,23.3024112724113,26.2381142565514,18.1280112181277,16.3943113576212,0.7375229357,1.63998838249632,109.316,109.994,109.99,110.035,110.165,110.0535229357,-0.7375229357,25,24,23,22,20,19,17,15,13,11,10,8
358761.59068,524370.14581,39.3807051880666,28.6415394801831,23.2521221215558,26.1626373103252,18.0652936323034,16.3991323795485,0.7361060142,1.89482873718697,109.34,109.993,109.989,110.033,110.164,110.0761060142,-0.7361060142,25,24,23,22,20,18,17,15,13,11,10,8
358761.67573,524369.8872,39.1317125737528,28.515931316304,23.1823308937182,26.108295745507,17.998511873109,16.4300150439178,0.7325790009,2.16992871851216,109.364,109.992,109.988,110.031,110.163,110.0965790009,-0.7325790009,24,24,23,21,20,18,16,15,13,11,10,8
358761.77243,524369.61869,38.951719005651,28.4133389537423,23.1048735903469,26.0157150222691,17.9266564940289,16.4358023544543,0.730285423,2.45802553040513,109.395,109.991,109.987,110.029,110.162,110.125285423,-0.730285423,24,24,23,21,20,18,16,15,13,11,10,8
358761.87464,524369.32932,38.7947454436214,28.3087011928493,23.043003611664,25.9372439361679,17.8659593885645,16.4695956794697,0.7276350663,2.76768743772966,109.426,109.99,109.986,110.027,110.161,110.1536350663,-0.7276350663,24,23,22,21,20,18,16,15,13,11,10,8
358761.98746,524369.03441,38.6584115009004,28.2119904899323,23.0013066289613,25.819567378415,17.8072867141935,16.4927546556256,0.7315188583,3.085642631413,109.455,109.988,109.985,110.025,110.16,110.1865188583,-0.7315188583,24,24,23,21,20,18,16,15,13,11,10,8
358762.10353,524368.72923,38.5230443243996,28.1103357576313,22.9490074562921,25.6818073816082,17.7304682576034,16.445541375791,0.7405300714,3.4140870367023,109.485,109.986,109.984,110.024,110.159,110.2255300714,-0.7405300714,24,23,22,21,20,18,16,15,13,11,10,9
358762.21781,524368.41772,38.3666134469642,27.9968469932681,22.8759773005454,25.5631575711722,17.691047831499,16.4657938468511,0.7302956168,3.74748938260393,109.515,109.984,109.983,110.023,110.158,110.2452956168,-0.7302956168,24,23,22,21,19,18,16,14,13,11,10,9
358762.33639,524368.09326,38.1894244435103,27.8820127444815,22.8016374212428,25.424442198605,17.6193182943575,16.4368450153326,0.7255249746,4.09444030127351,109.545,109.982,109.982,110.022,110.157,110.2705249746,-0.7255249746,23,23,22,20,19,17,16,14,13,11,10,9
358762.45719,524367.76477,37.9818667948144,27.7785007699427,22.7523244136291,25.2897627653788,17.5970896909082,16.4320213507201,0.7216411826,4.44596405808704,109.577,109.98,109.981,110.021,110.156,110.2986411826,-0.7216411826,23,22,21,20,19,17,16,14,13,11,10,9
358762.58617,524367.43644,37.7650779843764,27.6533337675326,22.6842646596956,25.15807871671,17.5486043844486,16.4242945250236,0.711406728,4.79990344386381,109.605,109.98,109.98,110.02,110.155,110.316406728,-0.711406728,21,21,20,19,18,16,15,13,12,11,10,9
358762.72383,524367.1147,37.5478652515352,27.5342110824779,22.6115354942202,25.0304780205983,17.4870436869213,16.4252563328375,0.7103465853,5.15106116342295,109.648,109.98,109.98,110.02,110.154,110.3583465853,-0.7103465853,21,21,20,19,18,16,15,14,12,11,10,9
358762.86599,524366.79147,37.3055823738895,27.4117521488493,22.5379868387211,24.8968424948049,17.4153942284426,16.3789569070819,0.7052191643,5.50504760961757,109.691,109.98,109.98,110.02,110.153,110.3962191643,-0.7052191643,23,22,21,20,19,17,16,14,13,11,10,9
