Easting (m),Northing (m),VCP1.48,VCP2.82,VCP4.49,HCP1.48,HCP2.82,HCP4.49,Stage (m),Distance (m)
358855.1518,524370.4864,26.7417571615998,18.0510864383102,13.8417057936528,14.535050641445,8.08198138633458,6.42590157270379,0.354434251,47.9481132632377
358855.1889,524370.1874,26.3500879077679,18.0658529472609,13.9150215601482,14.5071522716917,7.93925323823154,6.29959392508308,0.386136595,48.2494061605994
358855.2406,524369.9551,25.8494346654115,18.0534715685781,13.9507849790402,14.6094462941203,7.94817374748798,6.13381513758089,0.386136595,48.487389731495
358855.2355,524369.7493,25.6489199634988,18.0394426261776,13.9622243479003,14.7024408599645,7.85896865492358,6.03908440186536,0.349133537,48.6932529142122
358855.272,524369.5042,25.1941380201027,17.9752908781669,13.990073567878,14.869831078484,7.92141221971867,6.02329594591277,0.403669725,48.9410557794654
358855.301,524369.2591,25.0609880019681,17.9888644334146,14.01500676272,15.0186223838347,8.07306087707815,5.99171903400759,0.393170234,49.1878654429115
358855.2835,524368.9866,24.8412488058145,18.0205877089039,14.06990810514,15.1674136891854,8.29607360848914,6.23644010127272,0.349133537,49.460926791406
358855.2933,524368.6453,24.8568228766389,18.0144534326815,14.085855437417,15.1488147760165,8.1533454603861,5.95224789412612,0.350866463,49.8023674597222
358855.3355,524368.3129,25.195826072379,18.020731874646,14.0902752915877,15.0744191233412,8.1087429141039,5.91277675424464,0.386136595,50.1374355124633
358855.3242,524368.0255,25.3514619509908,18.1658509946236,14.2756532468633,14.9256278179905,8.16226596964254,5.88119984233947,0.322731906,50.4250575735394
358855.2715,524367.7849,25.4278398192465,18.2383447129653,14.3893971400245,14.8791305350684,8.32283513625846,5.99961326198389,0.347400612,50.6713615524136
358855.2892,524367.4824,25.7931999635568,18.3966243847479,14.639105387672,14.7675370560554,8.29607360848914,6.00750748996018,0.380835882,50.9743789446459
358855.3131,524367.1502,25.9190777604847,18.5102642359568,14.8858345402097,14.5443500980294,8.27823258997626,6.02329594591277,0.405504587,51.3074375730668
358855.3161,524366.77,26.0795338895312,18.5151562197812,14.974711767428,14.3490615097566,8.2871530992327,6.07066131377054,0.384301733,51.6876494087724
358855.3146,524366.375,25.8811380854593,18.4999349556441,14.9776784301037,14.1909707478215,8.31391462700202,6.23644010127272,0.373802243,52.082652256882
358855.3272,524366.1022,26.0173641048132,18.6156823907994,15.0111422027851,14.1909707478215,8.21578902518118,6.25222855722531,0.433639144,52.3557430842996
358855.3862,524365.8383,25.4624977660833,18.7298232509717,15.0320303705082,14.246767487328,8.25147106220694,6.29169969710678,0.421304791,52.6261579692662
358855.3909,524365.5248,25.8743655414595,19.0171395731604,15.2707777330084,14.2281685741592,8.04629934930882,6.32327660901196,0.396636086,52.9396931984777
358855.4059,524365.1686,26.2974238807567,19.1137013052228,15.3824827065407,14.0886767253929,7.81436610864139,6.42590157270379,0.53058104,53.2962088924208
358855.3944,524364.7254,25.8246023728472,19.0404626465142,15.576281326997,13.7910941146915,7.68947897905123,6.44958425663268,0.458307849,53.7395580663036
358855.4379,524364.3077,24.9156050704621,18.8644855961925,15.7416968921019,13.4284153078993,7.44862522912735,6.60746881615857,0.475942915,54.1595170404843
358855.3725,524363.8539,24.643512621956,18.9021930485238,16.0877199625535,12.554266388964,7.42186370135803,6.35485352091714,0.447706422,54.618005426399
358855.2273,524363.5121,24.93328971597,19.0492034805013,16.3386287128964,11.9591011675612,7.46646624764023,6.47326694056156,0.477675841,54.9893681600542
358855.0997,524363.211,25.7925402775438,19.2689476479495,16.4796904160076,11.9869995373145,7.42186370135803,6.48905539651415,0.468909276,55.3163895202529
358854.9283,524362.9529,26.198416069502,19.3160533208421,16.4865405398143,12.5728653021328,7.53783032169175,6.57589190425339,0.479510703,55.6262178113845
358854.8746,524362.7308,26.6218877729176,19.3227689170764,16.4786497095207,12.8146511733277,7.61811490499971,6.8442956554474,0.42833843,55.8547174831812
358854.6666,524362.4601,26.7183518078523,19.159675835035,16.4064854692635,12.7309560640679,7.95709425674442,7.04165135485477,0.447706422,56.1961006842763
358854.3015,524362.2075,26.8706407497918,18.9499930007091,16.2464014030978,12.5914642153017,8.34959666402778,7.34952624593026,0.460040775,56.6400655139647
358854.0436,524361.8982,26.7869222242976,18.6030651768953,16.0438863114609,12.3868761704445,8.52800684915658,7.46004543759838,0.502344546,57.0427799288935
358853.9545,524361.6913,26.9605181722502,18.3992328366331,15.8555521544377,12.4147745401977,8.74209907131114,7.42846852569321,0.500611621,57.2680495896137
358853.8123,524361.3291,27.0999026417242,18.1334864016069,15.530133316145,12.5635658455484,8.94727078420926,7.60214154117169,0.475942915,57.6571635574713
358853.646,524360.9133,27.0022796878553,17.8717506863113,15.2312145141071,12.7402555206523,9.25948860818466,7.61792999712427,0.481243629,58.1049864353594
