x,y,VCP1.48f10000h0.2,VCP2.82f10000h0.2,VCP4.49f10000h0.2,HCP1.48f10000h0.2,HCP2.82f10000h0.2,HCP4.49f10000h0.2,depth,distance0,distance,dist,Z.m.,Stage(m),H20cm(m),H50cm(m),H100cm(m),elevation
358768.27129,524351.34946,29.7093927886252,23.321809397787,19.8327070046716,21.532440644707,16.8956024337182,17.705145517466,0.691,0.318922946541912,22.097132210791,21.8941177831619,109.719,109.93,109.958,110.02,110.055,110.39282263
358768.44348,524351.09584,29.7681917822216,23.3124143831797,19.7527556026979,21.5086574290482,16.8962157444893,17.572862796053,0.716,0.312678697702526,22.2990692153556,22.2064872327837,109.729,109.93,109.957,110.02,110.054,110.4368797146
358768.62744,524350.8459,29.8137071267869,23.252785361892,19.6783732682032,21.5476020957092,16.8778701020512,17.3747989526292,0.735,0.305725712987312,22.6090507873779,22.5222963613728,109.744,109.93,109.957,110.019,110.05,110.475529052
358768.83099,524350.59779,29.933927672898,23.1985912138267,19.6551082330811,21.6207306756054,16.8700583601169,17.2136384479651,0.75,0.33163818328928,22.9217733074522,22.8450389167665,109.756,109.93,109.957,110.018,110.046,110.5014740061
358769.0365,524350.35166,30.2960387444468,23.1822706692401,19.6348209473101,21.6517657575942,16.7161739612521,16.8794336035436,0.76,0.339235550624328,23.3666193141403,23.1671087811163,109.767,109.93,109.957,110.017,110.042,110.5246554536
358769.23984,524350.10276,30.6206443318462,23.2078641866451,19.6210073176254,21.6221099582032,16.521252718568,16.5782929248231,0.769,0.333624124573829,23.6777754979801,23.4896778654975,109.778,109.93,109.957,110.016,110.038,110.5434230377
358769.44079,524349.85222,30.7939022414527,23.2310948791847,19.5968002627764,21.5993890649024,16.4125820230726,16.4069149419426,0.78,0.304780600446106,23.8956814407293,23.8125897580914,109.782,109.93,109.957,110.015,110.035,110.5550173293
358769.64731,524349.59829,30.8074491846031,23.233346489301,19.5797165370708,21.6066582234411,16.1914357552841,16.0898611595138,0.791,0.324586767660018,24.2140410702428,24.1418054409104,109.786,109.93,109.957,110.014,110.032,110.5757961265
358769.85871,524349.33564,30.6460276305546,23.2198458728014,19.6036808538212,21.6359261881882,15.9484380961235,15.7314522644182,0.797,0.336268990146399,24.67940983998,24.4809384095041,109.788,109.93,109.959,110.013,110.029,110.583800204
358770.06382,524349.07939,30.5269973822323,23.2187528213546,19.6621578145279,21.6249616014921,15.7947020301429,15.5196537688267,0.8,0.329506769625141,25.0001048631416,24.8111404894261,109.79,109.93,109.962,110.012,110.026,110.5923343528
358770.26066,524348.83668,30.5617218874077,23.2403647877816,19.7277089369758,21.5719453265521,15.708961586042,15.4233223541265,0.799,0.333068208076731,25.2015136272748,25.1256371982151,109.792,109.93,109.965,110.011,110.023,110.596811417
358770.45496,524348.58843,30.8107023578776,23.3237813433859,19.8451416268172,21.5479796165832,15.5666669752368,15.2456716202185,0.795,0.348123521076708,25.5230403298437,25.4426358792552,109.794,109.93,109.968,110.01,110.02,110.5894536189
358770.65255,524348.33492,31.1442941534145,23.4487540590871,19.9648330862831,21.5697845668568,15.3886574461409,14.9779822680747,0.792,0.340966231340928,25.9659862510796,25.7656871134545,109.792,109.931,109.971,110.01,110.022,110.5839266056
